I           X1          NDT_H       VX1_H       TMP_H       NDT_HE      VX1_HE      TMP_HE      NDT_H+      VX1_H+      TMP_H+      NDT_HE+     VX1_HE+     TMP_HE+     NDT_ELC     VX1_ELC     TMP_ELC     
2           2.6729e+09  9.0129e+13  -4.3480e+02 6.4992e+02  8.9391e+12  -4.3483e+02 6.4992e+02  1.7251e+07  -4.3481e+02 6.4992e+02  2.2987e+04  -4.3233e+02 6.4991e+02  1.7273e+07  -4.3467e+02 6.4995e+02  
3           2.6740e+09  8.8597e+13  -1.0170e+00 6.4991e+02  8.6474e+12  -1.0471e+00 6.4991e+02  1.7339e+07  -1.0198e+00 6.4991e+02  8.4070e+03  -8.6005e-01 6.4990e+02  1.7348e+07  -1.1444e+00 6.4989e+02  
4           2.6751e+09  8.7114e+13  1.0313e+01  6.5000e+02  8.3728e+12  1.0282e+01  6.5000e+02  1.7565e+07  1.0309e+01  6.5000e+02  8.7493e+03  1.0060e+01  6.5000e+02  1.7575e+07  1.0289e+01  6.4999e+02  
5           2.6762e+09  8.5653e+13  4.7676e-01  6.5001e+02  8.1098e+12  4.4461e-01  6.5001e+02  1.7870e+07  4.7253e-01  6.5001e+02  8.9376e+03  4.0363e-01  6.5000e+02  1.7880e+07  5.1138e-01  6.5000e+02  
6           2.6773e+09  8.4193e+13  7.2011e-01  6.5000e+02  7.8540e+12  6.8693e-01  6.5000e+02  1.8207e+07  7.1579e-01  6.5000e+02  8.9520e+03  6.4822e-01  6.5000e+02  1.8217e+07  6.9250e-01  6.4999e+02  
7           2.6785e+09  8.2735e+13  -6.9542e-02 6.5000e+02  7.6055e+12  -1.0378e-01 6.5000e+02  1.8544e+07  -7.3705e-02 6.5000e+02  8.9668e+03  -1.4464e-01 6.5000e+02  1.8554e+07  -7.2363e-02 6.4999e+02  
8           2.6797e+09  8.1280e+13  2.0050e-01  6.5000e+02  7.3641e+12  1.6517e-01  6.5000e+02  1.8856e+07  1.9666e-01  6.5000e+02  8.9824e+03  1.2312e-01  6.5000e+02  1.8866e+07  1.9508e-01  6.4999e+02  
9           2.6808e+09  7.9828e+13  1.4025e-01  6.5000e+02  7.1296e+12  1.0380e-01  6.5000e+02  1.9128e+07  1.3682e-01  6.5000e+02  8.9980e+03  6.0508e-02  6.5000e+02  1.9138e+07  1.3522e-01  6.4999e+02  
10          2.6821e+09  7.8379e+13  1.5626e-01  6.5000e+02  6.9019e+12  1.1865e-01  6.5000e+02  1.9350e+07  1.5329e-01  6.5000e+02  9.0137e+03  7.4070e-02  6.5000e+02  1.9359e+07  1.5178e-01  6.4999e+02  
11          2.6833e+09  7.6934e+13  1.5648e-01  6.5000e+02  6.6808e+12  1.1767e-01  6.5000e+02  1.9517e+07  1.5396e-01  6.5000e+02  9.0295e+03  7.1755e-02  6.5000e+02  1.9526e+07  1.5237e-01  6.4999e+02  
12          2.6845e+09  7.5493e+13  1.6139e-01  6.5000e+02  6.4662e+12  1.2135e-01  6.5000e+02  1.9628e+07  1.5932e-01  6.5000e+02  9.0453e+03  7.4054e-02  6.5000e+02  1.9638e+07  1.5777e-01  6.4999e+02  
13          2.6858e+09  7.4058e+13  1.6540e-01  6.5000e+02  6.2579e+12  1.2408e-01  6.5000e+02  1.9686e+07  1.6374e-01  6.5000e+02  9.0611e+03  7.5365e-02  6.5000e+02  1.9696e+07  1.6218e-01  6.4999e+02  
14          2.6871e+09  7.2627e+13  1.6989e-01  6.5000e+02  6.0558e+12  1.2726e-01  6.5000e+02  1.9695e+07  1.6860e-01  6.5000e+02  9.0770e+03  7.7063e-02  6.5000e+02  1.9705e+07  1.6704e-01  6.4999e+02  
15          2.6884e+09  7.1202e+13  1.7453e-01  6.5000e+02  5.8596e+12  1.3054e-01  6.5000e+02  1.9660e+07  1.7357e-01  6.5000e+02  9.0929e+03  7.8821e-02  6.5000e+02  1.9670e+07  1.7201e-01  6.5000e+02  
16          2.6898e+09  6.9784e+13  1.7942e-01  6.5000e+02  5.6694e+12  1.3403e-01  6.5000e+02  1.9587e+07  1.7874e-01  6.5000e+02  9.1088e+03  8.0728e-02  6.5000e+02  1.9596e+07  1.7718e-01  6.5000e+02  
17          2.6911e+09  6.8372e+13  1.8456e-01  6.5000e+02  5.4849e+12  1.3772e-01  6.5000e+02  1.9481e+07  1.8411e-01  6.5000e+02  9.1247e+03  8.2777e-02  6.5000e+02  1.9491e+07  1.8255e-01  6.5000e+02  
18          2.6925e+09  6.6967e+13  1.8996e-01  6.5000e+02  5.3059e+12  1.4162e-01  6.5000e+02  1.9350e+07  1.8969e-01  6.5000e+02  9.1407e+03  8.4980e-02  6.5000e+02  1.9359e+07  1.8813e-01  6.5000e+02  
19          2.6939e+09  6.5569e+13  1.9564e-01  6.5000e+02  5.1324e+12  1.4574e-01  6.5000e+02  1.9197e+07  1.9552e-01  6.5000e+02  9.1567e+03  8.7359e-02  6.5000e+02  1.9207e+07  1.9396e-01  6.5000e+02  
20          2.6954e+09  6.4180e+13  2.0159e-01  6.5000e+02  4.9643e+12  1.5009e-01  6.5000e+02  1.9029e+07  2.0158e-01  6.5000e+02  9.1726e+03  8.9891e-02  6.5000e+02  1.9038e+07  2.0002e-01  6.5000e+02  
21          2.6968e+09  6.2798e+13  2.0798e-01  6.5000e+02  4.8013e+12  1.5481e-01  6.5000e+02  1.8848e+07  2.0806e-01  6.5000e+02  9.1886e+03  9.2745e-02  6.5000e+02  1.8858e+07  2.0650e-01  6.5000e+02  
22          2.6983e+09  6.1426e+13  2.1417e-01  6.5000e+02  4.6433e+12  1.5928e-01  6.5000e+02  1.8659e+07  2.1431e-01  6.5000e+02  9.2046e+03  9.5285e-02  6.5000e+02  1.8668e+07  2.1274e-01  6.5000e+02  
23          2.6998e+09  6.0063e+13  2.2302e-01  6.5000e+02  4.4902e+12  1.6634e-01  6.5000e+02  1.8464e+07  2.2319e-01  6.5000e+02  9.2206e+03  1.0032e-01  6.5000e+02  1.8474e+07  2.2169e-01  6.5000e+02  
24          2.7013e+09  5.8709e+13  2.2070e-01  6.5000e+02  4.3419e+12  1.6217e-01  6.5000e+02  1.8266e+07  2.2089e-01  6.5000e+02  9.2364e+03  9.4439e-02  6.5000e+02  1.8275e+07  2.1890e-01  6.5000e+02  
25          2.7029e+09  5.7365e+13  2.7790e-01  6.5000e+02  4.1982e+12  2.1746e-01  6.5000e+02  1.8066e+07  2.7810e-01  6.5000e+02  9.2489e+03  1.5208e-01  6.5000e+02  1.8075e+07  2.7828e-01  6.5000e+02  
26          2.7045e+09  5.6032e+13  1.5080e-01  6.5000e+02  4.0591e+12  8.8363e-02  6.5000e+02  1.7865e+07  1.5099e-01  6.5000e+02  9.2789e+03  -2.3487e-02 6.5000e+02  1.7874e+07  1.4684e-01  6.5000e+02  
27          2.7061e+09  5.4710e+13  3.6785e-01  6.5000e+02  3.9243e+12  3.0335e-01  6.5000e+02  1.7664e+07  3.6803e-01  6.5000e+02  9.2947e+03  2.6941e-01  6.5000e+02  1.7674e+07  3.6472e-01  6.5000e+02  
28          2.7077e+09  5.3399e+13  2.0278e-01  6.5000e+02  3.7938e+12  1.3614e-01  6.5000e+02  1.7464e+07  2.0296e-01  6.5000e+02  9.2965e+03  5.4023e-02  6.5000e+02  1.7474e+07  2.0180e-01  6.5000e+02  
29          2.7094e+09  5.2100e+13  2.7702e-01  6.5000e+02  3.6675e+12  2.0815e-01  6.5000e+02  1.7265e+07  2.7718e-01  6.5000e+02  9.3155e+03  1.2843e-01  6.5000e+02  1.7275e+07  2.7579e-01  6.5000e+02  
30          2.7111e+09  5.0812e+13  2.7318e-01  6.5000e+02  3.5451e+12  2.0201e-01  6.5000e+02  1.7067e+07  2.7332e-01  6.5000e+02  9.3313e+03  1.2018e-01  6.5000e+02  1.7076e+07  2.7171e-01  6.5000e+02  
31          2.7128e+09  4.9538e+13  2.8664e-01  6.5000e+02  3.4267e+12  2.1307e-01  6.5000e+02  1.6869e+07  2.8677e-01  6.5000e+02  9.3469e+03  1.2865e-01  6.5000e+02  1.6879e+07  2.8520e-01  6.5000e+02  
32          2.7145e+09  4.8276e+13  2.9709e-01  6.5000e+02  3.3120e+12  2.2103e-01  6.5000e+02  1.6673e+07  2.9721e-01  6.5000e+02  9.3624e+03  1.3397e-01  6.5000e+02  1.6683e+07  2.9563e-01  6.5000e+02  
33          2.7163e+09  4.7027e+13  3.0903e-01  6.5000e+02  3.2010e+12  2.3037e-01  6.5000e+02  1.6477e+07  3.0913e-01  6.5000e+02  9.3779e+03  1.4059e-01  6.5000e+02  1.6487e+07  3.0755e-01  6.5000e+02  
34          2.7181e+09  4.5791e+13  3.2143e-01  6.5000e+02  3.0936e+12  2.4008e-01  6.5000e+02  1.6282e+07  3.2153e-01  6.5000e+02  9.3933e+03  1.4750e-01  6.5000e+02  1.6291e+07  3.1994e-01  6.5001e+02  
35          2.7200e+09  4.4570e+13  3.3459e-01  6.5000e+02  2.9897e+12  2.5044e-01  6.5000e+02  1.6087e+07  3.3468e-01  6.5000e+02  9.4086e+03  1.5497e-01  6.5000e+02  1.6096e+07  3.3310e-01  6.5001e+02  
36          2.7218e+09  4.3363e+13  3.4851e-01  6.5000e+02  2.8890e+12  2.6144e-01  6.5000e+02  1.5891e+07  3.4859e-01  6.5000e+02  9.4238e+03  1.6299e-01  6.5000e+02  1.5901e+07  3.4701e-01  6.5001e+02  
37          2.7238e+09  4.2171e+13  3.6323e-01  6.5000e+02  2.7917e+12  2.7312e-01  6.5000e+02  1.5696e+07  3.6331e-01  6.5000e+02  9.4389e+03  1.7160e-01  6.5000e+02  1.5705e+07  3.6172e-01  6.5001e+02  
38          2.7257e+09  4.0993e+13  3.7880e-01  6.5000e+02  2.6974e+12  2.8554e-01  6.5000e+02  1.5500e+07  3.7889e-01  6.5000e+02  9.4538e+03  1.8085e-01  6.5000e+02  1.5510e+07  3.7730e-01  6.5001e+02  
39          2.7277e+09  3.9831e+13  3.9529e-01  6.5000e+02  2.6062e+12  2.9873e-01  6.5000e+02  1.5303e+07  3.9538e-01  6.5000e+02  9.4687e+03  1.9078e-01  6.5000e+02  1.5313e+07  3.9378e-01  6.5001e+02  
40          2.7297e+09  3.8684e+13  4.1274e-01  6.5000e+02  2.5179e+12  3.1275e-01  6.5000e+02  1.5106e+07  4.1283e-01  6.5000e+02  9.4834e+03  2.0143e-01  6.5000e+02  1.5116e+07  4.1123e-01  6.5001e+02  
41          2.7317e+09  3.7553e+13  4.3121e-01  6.5000e+02  2.4325e+12  3.2765e-01  6.5000e+02  1.4909e+07  4.3131e-01  6.5000e+02  9.4980e+03  2.1285e-01  6.5000e+02  1.4919e+07  4.2971e-01  6.5001e+02  
42          2.7338e+09  3.6438e+13  4.5077e-01  6.5000e+02  2.3498e+12  3.4348e-01  6.5000e+02  1.4710e+07  4.5088e-01  6.5000e+02  9.5125e+03  2.2510e-01  6.5000e+02  1.4720e+07  4.4927e-01  6.5001e+02  
43          2.7359e+09  3.5340e+13  4.7149e-01  6.5000e+02  2.2697e+12  3.6031e-01  6.5000e+02  1.4511e+07  4.7161e-01  6.5000e+02  9.5268e+03  2.3823e-01  6.5000e+02  1.4521e+07  4.6999e-01  6.5001e+02  
44          2.7380e+09  3.4258e+13  4.9343e-01  6.5000e+02  2.1923e+12  3.7820e-01  6.5000e+02  1.4311e+07  4.9356e-01  6.5000e+02  9.5410e+03  2.5231e-01  6.5000e+02  1.4321e+07  4.9194e-01  6.5001e+02  
