I           X1          NDT_H       VX1_H       TMP_H       NDT_HE      VX1_HE      TMP_HE      NDT_H+      VX1_H+      TMP_H+      NDT_HE+     VX1_HE+     TMP_HE+     NDT_ELC     VX1_ELC     TMP_ELC     
2           8.1366e+09  9.0279e+13  -1.5075e+03 1.1992e+03  7.4429e+12  -1.5075e+03 1.1992e+03  1.2696e+08  -1.5075e+03 1.1992e+03  1.7816e+05  -1.5077e+03 1.1992e+03  1.2712e+08  -1.5035e+03 1.2012e+03  
3           8.1382e+09  8.6552e+13  -1.0247e+01 1.1991e+03  6.8418e+12  -1.0325e+01 1.1991e+03  1.2896e+08  -1.0259e+01 1.1991e+03  1.8360e+05  -1.0617e+01 1.1991e+03  1.2914e+08  -1.3850e+01 1.2008e+03  
4           8.1399e+09  8.3095e+13  3.2139e+01  1.1999e+03  6.2888e+12  3.2061e+01  1.1999e+03  1.3336e+08  3.2123e+01  1.1999e+03  1.9058e+05  3.1760e+01  1.1999e+03  1.3355e+08  3.1487e+01  1.2017e+03  
5           8.1415e+09  7.9842e+13  1.0182e+01  1.1999e+03  5.7737e+12  1.0103e+01  1.1999e+03  1.3875e+08  1.0165e+01  1.1999e+03  1.9702e+05  9.7966e+00  1.1999e+03  1.3895e+08  1.1507e+01  1.2017e+03  
6           8.1432e+09  7.6733e+13  4.0379e+00  1.1999e+03  5.2872e+12  3.9596e+00  1.1999e+03  1.4417e+08  4.0213e+00  1.1999e+03  2.0288e+05  3.6416e+00  1.1999e+03  1.4438e+08  3.7041e+00  1.2015e+03  
7           8.1448e+09  7.3757e+13  3.6447e+00  1.1999e+03  4.8273e+12  3.5674e+00  1.1999e+03  1.4904e+08  3.6295e+00  1.1999e+03  2.0819e+05  3.2371e+00  1.1999e+03  1.4925e+08  3.6932e+00  1.2014e+03  
8           8.1465e+09  7.0910e+13  3.8446e+00  1.1999e+03  4.3933e+12  3.7689e+00  1.1999e+03  1.5306e+08  3.8311e+00  1.1999e+03  2.1286e+05  3.4271e+00  1.1999e+03  1.5327e+08  3.8429e+00  1.2013e+03  
9           8.1482e+09  6.8185e+13  3.9019e+00  1.1999e+03  3.9841e+12  3.8286e+00  1.1999e+03  1.5611e+08  3.8901e+00  1.1999e+03  2.1674e+05  3.4766e+00  1.1999e+03  1.5633e+08  3.8846e+00  1.2012e+03  
10          8.1499e+09  6.5578e+13  3.9665e+00  1.1999e+03  3.5988e+12  3.8966e+00  1.1999e+03  1.5820e+08  3.9564e+00  1.1999e+03  2.1965e+05  3.5362e+00  1.1999e+03  1.5842e+08  3.9573e+00  1.2011e+03  
11          8.1516e+09  6.3083e+13  4.0441e+00  1.1999e+03  3.2364e+12  3.9788e+00  1.1999e+03  1.5942e+08  4.0356e+00  1.1999e+03  2.2143e+05  3.6126e+00  1.1999e+03  1.5964e+08  4.0347e+00  1.2011e+03  
