I           X1          NDT_H       VX1_H       TMP_H       NDT_HE      VX1_HE      TMP_HE      NDT_H+      VX1_H+      TMP_H+      NDT_HE+     VX1_HE+     TMP_HE+     NDT_ELC     VX1_ELC     TMP_ELC     
2           9.7167e+09  9.1445e+12  -6.6108e+02 1.4996e+03  7.6342e+11  -6.6139e+02 1.4996e+03  1.9072e+06  -6.6111e+02 1.4996e+03  5.1088e+03  -6.4045e+02 1.4996e+03  1.9121e+06  -6.5841e+02 1.5010e+03  
3           9.7187e+09  8.9896e+12  -5.2281e+00 1.4995e+03  7.3834e+11  -5.5392e+00 1.4995e+03  1.9239e+06  -5.2865e+00 1.4995e+03  1.9073e+03  1.9531e+01  1.4995e+03  1.9258e+06  -8.0917e+00 1.5009e+03  
4           9.7206e+09  8.8411e+12  1.1226e+01  1.4999e+03  7.1473e+11  1.0909e+01  1.4999e+03  1.9648e+06  1.1141e+01  1.4999e+03  9.5710e+02  1.7681e+01  1.4999e+03  1.9658e+06  1.1082e+01  1.5014e+03  
5           9.7226e+09  8.6967e+12  3.7530e+00  1.5000e+03  6.9223e+11  3.4275e+00  1.5000e+03  2.0245e+06  3.6478e+00  1.5000e+03  9.4797e+02  2.1722e-01  1.5000e+03  2.0255e+06  4.6886e+00  1.5014e+03  
6           9.7246e+09  8.5544e+12  1.0786e+00  1.5000e+03  6.7047e+11  7.4548e-01  1.5000e+03  2.0987e+06  9.5978e-01  1.5000e+03  9.7634e+02  -2.1824e-01 1.5000e+03  2.0996e+06  7.0460e-01  1.5013e+03  
7           9.7266e+09  8.4137e+12  6.1010e-01  1.5000e+03  6.4940e+11  2.6946e-01  1.5000e+03  2.1834e+06  4.8288e-01  1.5000e+03  9.7802e+02  -5.3006e-01 1.5000e+03  2.1844e+06  5.8624e-01  1.5012e+03  
8           9.7286e+09  8.2749e+12  7.4990e-01  1.5000e+03  6.2899e+11  4.0141e-01  1.5000e+03  2.2756e+06  6.1855e-01  1.5000e+03  9.7871e+02  -4.5700e-01 1.5000e+03  2.2766e+06  6.8485e-01  1.5012e+03  
9           9.7306e+09  8.1378e+12  7.6268e-01  1.5000e+03  6.0923e+11  4.0611e-01  1.5000e+03  2.3724e+06  6.3049e-01  1.5000e+03  9.7969e+02  -4.7779e-01 1.5000e+03  2.3734e+06  6.7490e-01  1.5011e+03  
10          9.7326e+09  8.0025e+12  7.7379e-01  1.5000e+03  5.9011e+11  4.0893e-01  1.5000e+03  2.4715e+06  6.4320e-01  1.5000e+03  9.8067e+02  -5.0226e-01 1.5000e+03  2.4724e+06  6.9726e-01  1.5010e+03  
11          9.7347e+09  7.8689e+12  7.9421e-01  1.5000e+03  5.7160e+11  4.2083e-01  1.5000e+03  2.5708e+06  6.6697e-01  1.5000e+03  9.8165e+02  -5.1840e-01 1.5000e+03  2.5718e+06  7.1816e-01  1.5010e+03  
12          9.7367e+09  7.7370e+12  8.1200e-01  1.5000e+03  5.5368e+11  4.2986e-01  1.5000e+03  2.6688e+06  6.8929e-01  1.5000e+03  9.8263e+02  -5.3818e-01 1.5000e+03  2.6697e+06  7.4085e-01  1.5009e+03  
13          9.7388e+09  7.6068e+12  8.3127e-01  1.5000e+03  5.3634e+11  4.4012e-01  1.5000e+03  2.7641e+06  7.1383e-01  1.5000e+03  9.8361e+02  -5.5754e-01 1.5000e+03  2.7651e+06  7.6553e-01  1.5009e+03  
14          9.7408e+09  7.4783e+12  8.5079e-01  1.5000e+03  5.1956e+11  4.5037e-01  1.5000e+03  2.8558e+06  7.3902e-01  1.5000e+03  9.8460e+02  -5.7773e-01 1.5000e+03  2.8568e+06  7.9056e-01  1.5008e+03  
15          9.7429e+09  7.3514e+12  8.7065e-01  1.5000e+03  5.0333e+11  4.6070e-01  1.5000e+03  2.9432e+06  7.6469e-01  1.5000e+03  9.8560e+02  -5.9869e-01 1.5000e+03  2.9442e+06  8.1625e-01  1.5008e+03  
16          9.7450e+09  7.2262e+12  8.9096e-01  1.5000e+03  4.8762e+11  4.7121e-01  1.5000e+03  3.0258e+06  7.9075e-01  1.5000e+03  9.8660e+02  -6.2035e-01 1.5000e+03  3.0268e+06  8.4227e-01  1.5008e+03  
17          9.7471e+09  7.1027e+12  9.1168e-01  1.5000e+03  4.7242e+11  4.8185e-01  1.5000e+03  3.1034e+06  8.1700e-01  1.5000e+03  9.8761e+02  -6.4279e-01 1.5000e+03  3.1044e+06  8.6849e-01  1.5008e+03  
18          9.7492e+09  6.9807e+12  9.3284e-01  1.5000e+03  4.5772e+11  4.9264e-01  1.5000e+03  3.1759e+06  8.4336e-01  1.5000e+03  9.8862e+02  -6.6601e-01 1.5000e+03  3.1769e+06  8.9482e-01  1.5007e+03  
19          9.7513e+09  6.8604e+12  9.5444e-01  1.5000e+03  4.4349e+11  5.0358e-01  1.5000e+03  3.2434e+06  8.6974e-01  1.5000e+03  9.8965e+02  -6.9005e-01 1.5000e+03  3.2444e+06  9.2118e-01  1.5007e+03  
20          9.7535e+09  6.7416e+12  9.7649e-01  1.5000e+03  4.2974e+11  5.1466e-01  1.5000e+03  3.3061e+06  8.9609e-01  1.5000e+03  9.9069e+02  -7.1492e-01 1.5000e+03  3.3071e+06  9.4749e-01  1.5007e+03  
21          9.7556e+09  6.6245e+12  9.9901e-01  1.5000e+03  4.1643e+11  5.2590e-01  1.5000e+03  3.3645e+06  9.2237e-01  1.5000e+03  9.9173e+02  -7.4063e-01 1.5000e+03  3.3655e+06  9.7375e-01  1.5007e+03  
22          9.7578e+09  6.5089e+12  1.0220e+00  1.5000e+03  4.0356e+11  5.3729e-01  1.5000e+03  3.4189e+06  9.4857e-01  1.5000e+03  9.9279e+02  -7.6720e-01 1.5000e+03  3.4199e+06  9.9992e-01  1.5007e+03  
23          9.7599e+09  6.3948e+12  1.0455e+00  1.5000e+03  3.9111e+11  5.4884e-01  1.5000e+03  3.4699e+06  9.7468e-01  1.5000e+03  9.9386e+02  -7.9464e-01 1.5000e+03  3.4709e+06  1.0260e+00  1.5007e+03  
24          9.7621e+09  6.2822e+12  1.0695e+00  1.5000e+03  3.7908e+11  5.6056e-01  1.5000e+03  3.5180e+06  1.0007e+00  1.5000e+03  9.9495e+02  -8.2329e-01 1.5000e+03  3.5190e+06  1.0520e+00  1.5007e+03  
25          9.7643e+09  6.1712e+12  1.0940e+00  1.5000e+03  3.6744e+11  5.7240e-01  1.5000e+03  3.5637e+06  1.0266e+00  1.5000e+03  9.9605e+02  -8.5180e-01 1.5000e+03  3.5647e+06  1.0779e+00  1.5007e+03  
26          9.7665e+09  6.0617e+12  1.1191e+00  1.5000e+03  3.5619e+11  5.8456e-01  1.5000e+03  3.6077e+06  1.0527e+00  1.5000e+03  9.9707e+02  -8.6607e-01 1.5000e+03  3.6087e+06  1.1038e+00  1.5007e+03  
27          9.7687e+09  5.9537e+12  1.1444e+00  1.5000e+03  3.4531e+11  5.9647e-01  1.5000e+03  3.6506e+06  1.0783e+00  1.5000e+03  9.9787e+02  -8.9924e-01 1.5000e+03  3.6516e+06  1.1296e+00  1.5007e+03  
28          9.7709e+09  5.8471e+12  1.1713e+00  1.5000e+03  3.3479e+11  6.0965e-01  1.5000e+03  3.6928e+06  1.1050e+00  1.5000e+03  1.0023e+03  -1.4858e+00 1.5000e+03  3.6938e+06  1.1558e+00  1.5007e+03  
29          9.7732e+09  5.7420e+12  1.1959e+00  1.5000e+03  3.2462e+11  6.2004e-01  1.5000e+03  3.7348e+06  1.1289e+00  1.5000e+03  1.0247e+03  -2.4310e+00 1.5000e+03  3.7359e+06  1.1787e+00  1.5007e+03  
30          9.7754e+09  5.6384e+12  1.2283e+00  1.5000e+03  3.1479e+11  6.3788e-01  1.5000e+03  3.7773e+06  1.1602e+00  1.5000e+03  1.0621e+03  -2.9911e+00 1.5000e+03  3.7783e+06  1.2186e+00  1.5007e+03  
31          9.7777e+09  5.5361e+12  1.2263e+00  1.5000e+03  3.0529e+11  6.2092e-01  1.5000e+03  3.8204e+06  1.1568e+00  1.5000e+03  1.1077e+03  -3.2793e+00 1.5000e+03  3.8216e+06  1.1712e+00  1.5007e+03  
32          9.7800e+09  5.4353e+12  1.5508e+00  1.5000e+03  2.9610e+11  9.3007e-01  1.5000e+03  3.8647e+06  1.4796e+00  1.5000e+03  1.1572e+03  -3.0985e+00 1.5000e+03  3.8658e+06  1.6094e+00  1.5007e+03  
33          9.7823e+09  5.3359e+12  5.2382e-01  1.5000e+03  2.8722e+11  -1.1273e-01 1.5000e+03  3.9103e+06  4.5064e-01  1.5000e+03  1.2090e+03  -4.2342e+00 1.5000e+03  3.9115e+06  4.3744e-01  1.5007e+03  
34          9.7846e+09  5.2379e+12  2.2097e+00  1.5000e+03  2.7863e+11  1.5566e+00  1.5000e+03  3.9574e+06  2.1343e+00  1.5000e+03  1.2629e+03  -2.6653e+00 1.5000e+03  3.9587e+06  2.1673e+00  1.5007e+03  
35          9.7869e+09  5.1413e+12  8.4438e-01  1.5000e+03  2.7034e+11  1.7467e-01  1.5000e+03  4.0064e+06  7.6672e-01  1.5000e+03  1.3193e+03  -4.1617e+00 1.5000e+03  4.0077e+06  8.0496e-01  1.5007e+03  
36          9.7892e+09  5.0460e+12  1.3351e+00  1.5000e+03  2.6232e+11  6.4815e-01  1.5000e+03  4.0572e+06  1.2550e+00  1.5000e+03  1.3784e+03  -3.8139e+00 1.5000e+03  4.0586e+06  1.3268e+00  1.5007e+03  
37          9.7915e+09  4.9521e+12  1.2814e+00  1.5000e+03  2.5456e+11  5.7671e-01  1.5000e+03  4.1101e+06  1.1988e+00  1.5000e+03  1.4407e+03  -4.0169e+00 1.5000e+03  4.1115e+06  1.2411e+00  1.5007e+03  
38          9.7939e+09  4.8595e+12  1.3313e+00  1.5000e+03  2.4707e+11  6.0827e-01  1.5000e+03  4.1650e+06  1.2460e+00  1.5000e+03  1.5064e+03  -4.1199e+00 1.5000e+03  4.1665e+06  1.2977e+00  1.5007e+03  
39          9.7963e+09  4.7683e+12  1.3564e+00  1.5000e+03  2.3983e+11  6.1466e-01  1.5000e+03  4.2221e+06  1.2686e+00  1.5000e+03  1.5755e+03  -4.2500e+00 1.5000e+03  4.2237e+06  1.3174e+00  1.5007e+03  
40          9.7986e+09  4.6783e+12  1.3890e+00  1.5000e+03  2.3283e+11  6.2795e-01  1.5000e+03  4.2814e+06  1.2985e+00  1.5000e+03  1.6484e+03  -4.3748e+00 1.5000e+03  4.2830e+06  1.3478e+00  1.5007e+03  
41          9.8010e+09  4.5897e+12  1.4208e+00  1.5000e+03  2.2606e+11  6.3984e-01  1.5000e+03  4.3428e+06  1.3277e+00  1.5000e+03  1.7253e+03  -4.5028e+00 1.5000e+03  4.3445e+06  1.3767e+00  1.5007e+03  
42          9.8034e+09  4.5023e+12  1.4537e+00  1.5000e+03  2.1952e+11  6.5234e-01  1.5000e+03  4.4064e+06  1.3579e+00  1.5000e+03  1.8062e+03  -4.6318e+00 1.5000e+03  4.4082e+06  1.4068e+00  1.5007e+03  
43          9.8058e+09  4.4162e+12  1.4873e+00  1.5000e+03  2.1320e+11  6.6489e-01  1.5000e+03  4.4721e+06  1.3889e+00  1.5000e+03  1.8915e+03  -4.7626e+00 1.5000e+03  4.4740e+06  1.4376e+00  1.5006e+03  
44          9.8083e+09  4.3314e+12  1.5216e+00  1.5000e+03  2.0709e+11  6.7768e-01  1.5000e+03  4.5400e+06  1.4207e+00  1.5000e+03  1.9815e+03  -4.8947e+00 1.5000e+03  4.5420e+06  1.4693e+00  1.5006e+03  
45          9.8107e+09  4.2479e+12  1.5568e+00  1.5000e+03  2.0119e+11  6.9067e-01  1.5000e+03  4.6099e+06  1.4534e+00  1.5000e+03  2.0762e+03  -5.0283e+00 1.5000e+03  4.6120e+06  1.5017e+00  1.5006e+03  
46          9.8132e+09  4.1655e+12  1.5928e+00  1.5000e+03  1.9548e+11  7.0388e-01  1.5000e+03  4.6818e+06  1.4869e+00  1.5000e+03  2.1761e+03  -5.1630e+00 1.5000e+03  4.6840e+06  1.5350e+00  1.5006e+03  
47          9.8156e+09  4.0844e+12  1.6297e+00  1.5000e+03  1.8996e+11  7.1732e-01  1.5000e+03  4.7557e+06  1.5213e+00  1.5000e+03  2.2814e+03  -5.2989e+00 1.5000e+03  4.7580e+06  1.5693e+00  1.5006e+03  
48          9.8181e+09  4.0045e+12  1.6674e+00  1.5000e+03  1.8462e+11  7.3099e-01  1.5000e+03  4.8315e+06  1.5566e+00  1.5000e+03  2.3925e+03  -5.4358e+00 1.5000e+03  4.8339e+06  1.6044e+00  1.5006e+03  
49          9.8206e+09  3.9258e+12  1.7061e+00  1.5000e+03  1.7946e+11  7.4491e-01  1.5000e+03  4.9091e+06  1.5929e+00  1.5000e+03  2.5095e+03  -5.5735e+00 1.5000e+03  4.9116e+06  1.6404e+00  1.5006e+03  
50          9.8231e+09  3.8483e+12  1.7456e+00  1.5000e+03  1.7447e+11  7.5909e-01  1.5000e+03  4.9885e+06  1.6302e+00  1.5000e+03  2.6329e+03  -5.7121e+00 1.5000e+03  4.9912e+06  1.6775e+00  1.5006e+03  
51          9.8256e+09  3.7720e+12  1.7862e+00  1.5000e+03  1.6965e+11  7.7353e-01  1.5000e+03  5.0697e+06  1.6684e+00  1.5000e+03  2.7630e+03  -5.8512e+00 1.5000e+03  5.0725e+06  1.7154e+00  1.5006e+03  
52          9.8282e+09  3.6968e+12  1.8277e+00  1.5000e+03  1.6498e+11  7.8825e-01  1.5000e+03  5.1526e+06  1.7077e+00  1.5000e+03  2.9001e+03  -5.9909e+00 1.5000e+03  5.1555e+06  1.7544e+00  1.5006e+03  
53          9.8307e+09  3.6228e+12  1.8702e+00  1.5000e+03  1.6047e+11  8.0326e-01  1.5000e+03  5.2371e+06  1.7480e+00  1.5000e+03  3.0448e+03  -6.1309e+00 1.5000e+03  5.2401e+06  1.7944e+00  1.5006e+03  
54          9.8333e+09  3.5499e+12  1.9138e+00  1.5000e+03  1.5610e+11  8.1859e-01  1.5000e+03  5.3232e+06  1.7893e+00  1.5000e+03  3.1972e+03  -6.2712e+00 1.5000e+03  5.3264e+06  1.8355e+00  1.5006e+03  
55          9.8359e+09  3.4782e+12  1.9584e+00  1.5000e+03  1.5188e+11  8.3423e-01  1.5000e+03  5.4109e+06  1.8317e+00  1.5000e+03  3.3580e+03  -6.4116e+00 1.5000e+03  5.4143e+06  1.8776e+00  1.5006e+03  
56          9.8384e+09  3.4076e+12  2.0042e+00  1.5000e+03  1.4779e+11  8.5021e-01  1.5000e+03  5.5002e+06  1.8753e+00  1.5000e+03  3.5276e+03  -6.5520e+00 1.5000e+03  5.5037e+06  1.9208e+00  1.5006e+03  
57          9.8410e+09  3.3380e+12  2.0510e+00  1.5000e+03  1.4384e+11  8.6652e-01  1.5000e+03  5.5909e+06  1.9199e+00  1.5000e+03  3.7064e+03  -6.6922e+00 1.5000e+03  5.5946e+06  1.9652e+00  1.5006e+03  
58          9.8437e+09  3.2696e+12  2.0991e+00  1.5000e+03  1.4001e+11  8.8327e-01  1.5000e+03  5.6831e+06  1.9658e+00  1.5000e+03  3.8950e+03  -6.8320e+00 1.5000e+03  5.6870e+06  2.0107e+00  1.5006e+03  
59          9.8463e+09  3.2023e+12  2.1482e+00  1.5000e+03  1.3630e+11  9.0012e-01  1.5000e+03  5.7767e+06  2.0126e+00  1.5000e+03  4.0938e+03  -6.9717e+00 1.5000e+03  5.7808e+06  2.0571e+00  1.5006e+03  
60          9.8489e+09  3.1360e+12  2.1995e+00  1.5000e+03  1.3272e+11  9.1840e-01  1.5000e+03  5.8718e+06  2.0616e+00  1.5000e+03  4.3036e+03  -7.1098e+00 1.5000e+03  5.8761e+06  2.1058e+00  1.5006e+03  
61          9.8516e+09  3.0708e+12  2.2483e+00  1.5000e+03  1.2924e+11  9.3341e-01  1.5000e+03  5.9683e+06  2.1082e+00  1.5000e+03  4.5248e+03  -7.2509e+00 1.5000e+03  5.9729e+06  2.1513e+00  1.5006e+03  
62          9.8543e+09  3.0066e+12  2.3103e+00  1.5000e+03  1.2588e+11  9.6063e-01  1.5000e+03  6.0662e+06  2.1679e+00  1.5000e+03  4.7581e+03  -7.3792e+00 1.5000e+03  6.0710e+06  2.2163e+00  1.5006e+03  
63          9.8570e+09  2.9435e+12  2.3215e+00  1.5000e+03  1.2262e+11  9.3615e-01  1.5000e+03  6.1655e+06  2.1768e+00  1.5000e+03  5.0042e+03  -7.5588e+00 1.5000e+03  6.1705e+06  2.1959e+00  1.5006e+03  
64          9.8597e+09  2.8814e+12  2.6862e+00  1.5000e+03  1.1946e+11  1.2643e+00  1.5000e+03  6.2662e+06  2.5391e+00  1.5000e+03  5.2638e+03  -7.3850e+00 1.5000e+03  6.2715e+06  2.6388e+00  1.5006e+03  
