I           X1          NDT_H       VX1_H       TMP_H       NDT_HE      VX1_HE      TMP_HE      NDT_H+      VX1_H+      TMP_H+      NDT_HE+     VX1_HE+     TMP_HE+     NDT_ELC     VX1_ELC     TMP_ELC     
2           9.7167e+09  9.0354e+11  -4.6155e+02 1.4997e+03  8.9840e+10  -4.6370e+02 1.4997e+03  6.3947e+06  -4.6164e+02 1.4997e+03  8.6172e+04  -4.4725e+02 1.4997e+03  6.4806e+06  -4.5968e+02 1.5001e+03  
3           9.7187e+09  8.9259e+11  2.0273e+00  1.4997e+03  8.7794e+10  -2.1741e-01 1.4997e+03  6.4351e+06  1.8049e+00  1.4997e+03  7.0275e+04  1.8345e+01  1.4997e+03  6.5052e+06  3.6398e-01  1.5000e+03  
4           9.7206e+09  8.8197e+11  1.3906e+01  1.5000e+03  8.5897e+10  1.1562e+01  1.5000e+03  6.5305e+06  1.3584e+01  1.5000e+03  5.7644e+04  2.7591e+01  1.5000e+03  6.5882e+06  1.3658e+01  1.5004e+03  
5           9.7226e+09  8.7156e+11  8.1563e+00  1.5000e+03  8.4114e+10  5.7022e+00  1.5000e+03  6.6669e+06  7.7657e+00  1.5000e+03  4.9510e+04  1.5983e+01  1.5000e+03  6.7164e+06  8.2844e+00  1.5004e+03  
6           9.7246e+09  8.6120e+11  6.9114e+00  1.5000e+03  8.2408e+10  4.3559e+00  1.5000e+03  6.8328e+06  6.4737e+00  1.5000e+03  4.5377e+04  8.1080e+00  1.5000e+03  6.8782e+06  6.1326e+00  1.5004e+03  
7           9.7266e+09  8.5088e+11  6.3070e+00  1.5000e+03  8.0772e+10  3.6543e+00  1.5000e+03  7.0194e+06  5.8412e+00  1.5000e+03  4.4138e+04  2.2842e+00  1.5000e+03  7.0636e+06  5.8996e+00  1.5004e+03  
8           9.7286e+09  8.4060e+11  6.5861e+00  1.5000e+03  7.9201e+10  3.8367e+00  1.5000e+03  7.2194e+06  6.1074e+00  1.5000e+03  4.4672e+04  -5.0454e-01 1.5000e+03  7.2641e+06  6.0825e+00  1.5003e+03  
9           9.7306e+09  8.3037e+11  6.6359e+00  1.5000e+03  7.7691e+10  3.7916e+00  1.5000e+03  7.4266e+06  6.1561e+00  1.5000e+03  4.6109e+04  -1.7767e+00 1.5000e+03  7.4727e+06  6.1097e+00  1.5003e+03  
10          9.7326e+09  8.2019e+11  6.7290e+00  1.5000e+03  7.6238e+10  3.7916e+00  1.5000e+03  7.6358e+06  6.2568e+00  1.5000e+03  4.7882e+04  -1.9820e+00 1.5000e+03  7.6837e+06  6.2196e+00  1.5003e+03  
11          9.7347e+09  8.1007e+11  6.8220e+00  1.5000e+03  7.4838e+10  3.7930e+00  1.5000e+03  7.8430e+06  6.3637e+00  1.5000e+03  4.9683e+04  -1.7367e+00 1.5000e+03  7.8927e+06  6.3222e+00  1.5003e+03  
12          9.7367e+09  8.0000e+11  6.9144e+00  1.5000e+03  7.3486e+10  3.7954e+00  1.5000e+03  8.0448e+06  6.4744e+00  1.5000e+03  5.1383e+04  -1.3789e+00 1.5000e+03  8.0962e+06  6.4351e+00  1.5003e+03  
13          9.7388e+09  7.8998e+11  7.0092e+00  1.5000e+03  7.2181e+10  3.8015e+00  1.5000e+03  8.2389e+06  6.5899e+00  1.5000e+03  5.2961e+04  -1.0650e+00 1.5000e+03  8.2918e+06  6.5515e+00  1.5003e+03  
14          9.7408e+09  7.8003e+11  7.1050e+00  1.5000e+03  7.0917e+10  3.8101e+00  1.5000e+03  8.4234e+06  6.7077e+00  1.5000e+03  5.4446e+04  -8.4882e-01 1.5000e+03  8.4779e+06  6.6696e+00  1.5003e+03  
15          9.7429e+09  7.7014e+11  7.2022e+00  1.5000e+03  6.9694e+10  3.8211e+00  1.5000e+03  8.5974e+06  6.8271e+00  1.5000e+03  5.5885e+04  -7.2856e-01 1.5000e+03  8.6533e+06  6.7888e+00  1.5003e+03  
16          9.7450e+09  7.6031e+11  7.3008e+00  1.5000e+03  6.8508e+10  3.8347e+00  1.5000e+03  8.7603e+06  6.9474e+00  1.5000e+03  5.7318e+04  -6.8099e-01 1.5000e+03  8.8176e+06  6.9083e+00  1.5003e+03  
17          9.7471e+09  7.5055e+11  7.4008e+00  1.5000e+03  6.7357e+10  3.8508e+00  1.5000e+03  8.9119e+06  7.0681e+00  1.5000e+03  5.8779e+04  -6.7934e-01 1.5000e+03  8.9707e+06  7.0277e+00  1.5002e+03  
18          9.7492e+09  7.4085e+11  7.5023e+00  1.5000e+03  6.6238e+10  3.8693e+00  1.5000e+03  9.0525e+06  7.1887e+00  1.5000e+03  6.0286e+04  -7.0124e-01 1.5000e+03  9.1128e+06  7.1470e+00  1.5002e+03  
19          9.7513e+09  7.3122e+11  7.6054e+00  1.5000e+03  6.5149e+10  3.8901e+00  1.5000e+03  9.1828e+06  7.3093e+00  1.5000e+03  6.1852e+04  -7.3127e-01 1.5000e+03  9.2446e+06  7.2659e+00  1.5002e+03  
20          9.7535e+09  7.2166e+11  7.7101e+00  1.5000e+03  6.4089e+10  3.9133e+00  1.5000e+03  9.3033e+06  7.4295e+00  1.5000e+03  6.3482e+04  -7.6041e-01 1.5000e+03  9.3668e+06  7.3844e+00  1.5002e+03  
21          9.7556e+09  7.1216e+11  7.8164e+00  1.5000e+03  6.3056e+10  3.9387e+00  1.5000e+03  9.4149e+06  7.5495e+00  1.5000e+03  6.5178e+04  -7.8439e-01 1.5000e+03  9.4801e+06  7.5026e+00  1.5002e+03  
22          9.7578e+09  7.0274e+11  7.9244e+00  1.5000e+03  6.2048e+10  3.9664e+00  1.5000e+03  9.5187e+06  7.6692e+00  1.5000e+03  6.6941e+04  -8.0190e-01 1.5000e+03  9.5856e+06  7.6204e+00  1.5002e+03  
23          9.7599e+09  6.9339e+11  8.0342e+00  1.5000e+03  6.1063e+10  3.9962e+00  1.5000e+03  9.6155e+06  7.7888e+00  1.5000e+03  6.8770e+04  -8.1317e-01 1.5000e+03  9.6843e+06  7.7381e+00  1.5002e+03  
24          9.7621e+09  6.8412e+11  8.1458e+00  1.5000e+03  6.0100e+10  4.0282e+00  1.5000e+03  9.7064e+06  7.9084e+00  1.5000e+03  7.0666e+04  -8.1900e-01 1.5000e+03  9.7771e+06  7.8557e+00  1.5002e+03  
25          9.7643e+09  6.7491e+11  8.2592e+00  1.5000e+03  5.9159e+10  4.0623e+00  1.5000e+03  9.7923e+06  8.0281e+00  1.5000e+03  7.2629e+04  -8.2030e-01 1.5000e+03  9.8650e+06  7.9733e+00  1.5002e+03  
26          9.7665e+09  6.6578e+11  8.3746e+00  1.5000e+03  5.8237e+10  4.0985e+00  1.5000e+03  9.8742e+06  8.1482e+00  1.5000e+03  7.4662e+04  -8.1767e-01 1.5000e+03  9.9488e+06  8.0913e+00  1.5002e+03  
27          9.7687e+09  6.5672e+11  8.4917e+00  1.5000e+03  5.7334e+10  4.1365e+00  1.5000e+03  9.9528e+06  8.2686e+00  1.5000e+03  7.6764e+04  -8.1187e-01 1.5000e+03  1.0030e+07  8.2096e+00  1.5002e+03  
28          9.7709e+09  6.4774e+11  8.6114e+00  1.5000e+03  5.6449e+10  4.1771e+00  1.5000e+03  1.0029e+07  8.3904e+00  1.5000e+03  7.8940e+04  -8.0230e-01 1.5000e+03  1.0108e+07  8.3289e+00  1.5002e+03  
29          9.7732e+09  6.3883e+11  8.7314e+00  1.5000e+03  5.5580e+10  4.2178e+00  1.5000e+03  1.0103e+07  8.5112e+00  1.5000e+03  8.1189e+04  -7.9160e-01 1.5000e+03  1.0185e+07  8.4468e+00  1.5002e+03  
30          9.7754e+09  6.3000e+11  8.8588e+00  1.5000e+03  5.4728e+10  4.2658e+00  1.5000e+03  1.0177e+07  8.6385e+00  1.5000e+03  8.3516e+04  -7.7247e-01 1.5000e+03  1.0260e+07  8.5761e+00  1.5002e+03  
31          9.7777e+09  6.2124e+11  8.9640e+00  1.5000e+03  5.3890e+10  4.2913e+00  1.5000e+03  1.0249e+07  8.7427e+00  1.5000e+03  8.5923e+04  -7.7472e-01 1.5000e+03  1.0335e+07  8.6561e+00  1.5002e+03  
32          9.7800e+09  6.1256e+11  9.2652e+00  1.5000e+03  5.3067e+10  4.5126e+00  1.5000e+03  1.0322e+07  9.0421e+00  1.5000e+03  8.8411e+04  -5.7999e-01 1.5000e+03  1.0410e+07  9.0096e+00  1.5002e+03  
33          9.7823e+09  6.0396e+11  8.7988e+00  1.5000e+03  5.2258e+10  3.9660e+00  1.5000e+03  1.0395e+07  8.5733e+00  1.5000e+03  9.0984e+04  -1.1516e+00 1.5000e+03  1.0486e+07  8.4686e+00  1.5002e+03  
34          9.7846e+09  5.9543e+11  9.8412e+00  1.5000e+03  5.1461e+10  4.9267e+00  1.5000e+03  1.0468e+07  9.6128e+00  1.5000e+03  9.3645e+04  -2.1516e-01 1.5000e+03  1.0562e+07  9.5284e+00  1.5002e+03  
35          9.7869e+09  5.8698e+11  9.2261e+00  1.5000e+03  5.0678e+10  4.2306e+00  1.5000e+03  1.0542e+07  8.9944e+00  1.5000e+03  9.6398e+04  -9.3346e-01 1.5000e+03  1.0639e+07  8.9071e+00  1.5002e+03  
36          9.7892e+09  5.7861e+11  9.6104e+00  1.5000e+03  4.9907e+10  4.5327e+00  1.5000e+03  1.0617e+07  9.3751e+00  1.5000e+03  9.9243e+04  -6.5247e-01 1.5000e+03  1.0717e+07  9.3038e+00  1.5002e+03  
37          9.7915e+09  5.7032e+11  9.7050e+00  1.5000e+03  4.9147e+10  4.5444e+00  1.5000e+03  1.0694e+07  9.4657e+00  1.5000e+03  1.0219e+05  -6.6044e-01 1.5000e+03  1.0796e+07  9.3766e+00  1.5002e+03  
38          9.7939e+09  5.6210e+11  9.8571e+00  1.5000e+03  4.8399e+10  4.6129e+00  1.5000e+03  1.0771e+07  9.6137e+00  1.5000e+03  1.0523e+05  -6.1024e-01 1.5000e+03  1.0876e+07  9.5261e+00  1.5002e+03  
39          9.7963e+09  5.5396e+11  9.9984e+00  1.5000e+03  4.7661e+10  4.6696e+00  1.5000e+03  1.0850e+07  9.7507e+00  1.5000e+03  1.0838e+05  -5.7036e-01 1.5000e+03  1.0958e+07  9.6586e+00  1.5002e+03  
40          9.7986e+09  5.4589e+11  1.0146e+01  1.5000e+03  4.6934e+10  4.7317e+00  1.5000e+03  1.0930e+07  9.8938e+00  1.5000e+03  1.1163e+05  -5.2366e-01 1.5000e+03  1.1042e+07  9.7988e+00  1.5002e+03  
41          9.8010e+09  5.3791e+11  1.0295e+01  1.5000e+03  4.6217e+10  4.7947e+00  1.5000e+03  1.1012e+07  1.0039e+01  1.5000e+03  1.1500e+05  -4.7464e-01 1.5000e+03  1.1127e+07  9.9404e+00  1.5002e+03  
42          9.8034e+09  5.3000e+11  1.0448e+01  1.5000e+03  4.5509e+10  4.8597e+00  1.5000e+03  1.1095e+07  1.0187e+01  1.5000e+03  1.1849e+05  -4.2223e-01 1.5000e+03  1.1213e+07  1.0085e+01  1.5002e+03  
43          9.8058e+09  5.2217e+11  1.0603e+01  1.5000e+03  4.4812e+10  4.9265e+00  1.5000e+03  1.1179e+07  1.0337e+01  1.5000e+03  1.2210e+05  -3.6673e-01 1.5000e+03  1.1302e+07  1.0232e+01  1.5002e+03  
44          9.8083e+09  5.1442e+11  1.0762e+01  1.5000e+03  4.4123e+10  4.9950e+00  1.5000e+03  1.1265e+07  1.0491e+01  1.5000e+03  1.2583e+05  -3.0805e-01 1.5000e+03  1.1391e+07  1.0382e+01  1.5002e+03  
45          9.8107e+09  5.0674e+11  1.0923e+01  1.5000e+03  4.3444e+10  5.0654e+00  1.5000e+03  1.1353e+07  1.0648e+01  1.5000e+03  1.2970e+05  -2.4624e-01 1.5000e+03  1.1482e+07  1.0535e+01  1.5002e+03  
46          9.8132e+09  4.9914e+11  1.1088e+01  1.5000e+03  4.2773e+10  5.1376e+00  1.5000e+03  1.1442e+07  1.0808e+01  1.5000e+03  1.3370e+05  -1.8129e-01 1.5000e+03  1.1575e+07  1.0691e+01  1.5002e+03  
47          9.8156e+09  4.9162e+11  1.1255e+01  1.5000e+03  4.2111e+10  5.2116e+00  1.5000e+03  1.1532e+07  1.0970e+01  1.5000e+03  1.3784e+05  -1.1319e-01 1.5000e+03  1.1670e+07  1.0850e+01  1.5002e+03  
48          9.8181e+09  4.8417e+11  1.1426e+01  1.5000e+03  4.1457e+10  5.2874e+00  1.5000e+03  1.1623e+07  1.1136e+01  1.5000e+03  1.4214e+05  -4.1946e-02 1.5000e+03  1.1766e+07  1.1012e+01  1.5002e+03  
49          9.8206e+09  4.7680e+11  1.1601e+01  1.5000e+03  4.0811e+10  5.3651e+00  1.5000e+03  1.1716e+07  1.1306e+01  1.5000e+03  1.4659e+05  3.2468e-02  1.5000e+03  1.1863e+07  1.1177e+01  1.5002e+03  
50          9.8231e+09  4.6951e+11  1.1778e+01  1.5000e+03  4.0174e+10  5.4447e+00  1.5000e+03  1.1811e+07  1.1478e+01  1.5000e+03  1.5121e+05  1.1007e-01  1.5000e+03  1.1962e+07  1.1345e+01  1.5002e+03  
51          9.8256e+09  4.6230e+11  1.1960e+01  1.5000e+03  3.9544e+10  5.5261e+00  1.5000e+03  1.1907e+07  1.1654e+01  1.5000e+03  1.5600e+05  1.9089e-01  1.5000e+03  1.2063e+07  1.1516e+01  1.5002e+03  
52          9.8282e+09  4.5516e+11  1.2145e+01  1.5000e+03  3.8922e+10  5.6095e+00  1.5000e+03  1.2005e+07  1.1834e+01  1.5000e+03  1.6096e+05  2.7498e-01  1.5000e+03  1.2166e+07  1.1691e+01  1.5002e+03  
