I           X1          NDT_H       VX1_H       TMP_H       NDT_HE      VX1_HE      TMP_HE      NDT_H+      VX1_H+      TMP_H+      NDT_HE+     VX1_HE+     TMP_HE+     NDT_ELC     VX1_ELC     TMP_ELC     
2           9.7167e+09  9.1685e+12  -4.5678e+02 1.4997e+03  7.6739e+11  -4.5700e+02 1.4997e+03  8.3126e+06  -4.5679e+02 1.4997e+03  4.9701e+04  -4.4613e+02 1.4997e+03  8.3621e+06  -4.5491e+02 1.4998e+03  
3           9.7187e+09  9.0599e+12  -2.5010e+00 1.4997e+03  7.4990e+11  -2.7194e+00 1.4997e+03  8.3397e+06  -2.5166e+00 1.4997e+03  1.7589e+04  9.9420e+00  1.4997e+03  8.3572e+06  -4.1685e+00 1.4997e+03  
4           9.7206e+09  8.9550e+12  9.0171e+00  1.5000e+03  7.3342e+11  8.7928e+00  1.5000e+03  8.4120e+06  8.9954e+00  1.5000e+03  9.2722e+03  1.1151e+01  1.5000e+03  8.4217e+06  8.9332e+00  1.4999e+03  
5           9.7226e+09  8.8524e+12  3.4514e+00  1.5000e+03  7.1771e+11  3.2201e+00  1.5000e+03  8.5156e+06  3.4258e+00  1.5000e+03  9.3366e+03  1.9136e+00  1.5000e+03  8.5253e+06  3.8781e+00  1.4999e+03  
6           9.7246e+09  8.7505e+12  2.1580e+00  1.5000e+03  7.0248e+11  1.9202e+00  1.5000e+03  8.6382e+06  2.1303e+00  1.5000e+03  9.5858e+03  1.5983e+00  1.5000e+03  8.6480e+06  1.7475e+00  1.5000e+03  
7           9.7266e+09  8.6491e+12  1.4771e+00  1.5000e+03  6.8771e+11  1.2329e+00  1.5000e+03  8.7705e+06  1.4486e+00  1.5000e+03  9.5949e+03  9.8306e-01  1.5000e+03  8.7803e+06  1.5155e+00  1.5000e+03  
8           9.7286e+09  8.5484e+12  1.6922e+00  1.5000e+03  6.7337e+11  1.4415e+00  1.5000e+03  8.9052e+06  1.6640e+00  1.5000e+03  9.5967e+03  1.1707e+00  1.5000e+03  8.9150e+06  1.6623e+00  1.5000e+03  
9           9.7306e+09  8.4482e+12  1.6729e+00  1.5000e+03  6.5946e+11  1.4155e+00  1.5000e+03  9.0362e+06  1.6456e+00  1.5000e+03  9.6014e+03  1.1402e+00  1.5000e+03  9.0460e+06  1.6301e+00  1.5000e+03  
10          9.7326e+09  8.3487e+12  1.6960e+00  1.5000e+03  6.4596e+11  1.4320e+00  1.5000e+03  9.1590e+06  1.6703e+00  1.5000e+03  9.6059e+03  1.1515e+00  1.5000e+03  9.1688e+06  1.6673e+00  1.5000e+03  
11          9.7347e+09  8.2498e+12  1.7188e+00  1.5000e+03  6.3284e+11  1.4480e+00  1.5000e+03  9.2705e+06  1.6951e+00  1.5000e+03  9.6105e+03  1.1623e+00  1.5000e+03  9.2803e+06  1.6870e+00  1.5000e+03  
12          9.7367e+09  8.1515e+12  1.7398e+00  1.5000e+03  6.2011e+11  1.4622e+00  1.5000e+03  9.3684e+06  1.7183e+00  1.5000e+03  9.6150e+03  1.1712e+00  1.5000e+03  9.3782e+06  1.7114e+00  1.5000e+03  
13          9.7388e+09  8.0538e+12  1.7624e+00  1.5000e+03  6.0774e+11  1.4779e+00  1.5000e+03  9.4513e+06  1.7433e+00  1.5000e+03  9.6194e+03  1.1816e+00  1.5000e+03  9.4611e+06  1.7363e+00  1.5000e+03  
