I           X1          NDT_H       VX1_H       TMP_H       NDT_HE      VX1_HE      TMP_HE      NDT_H+      VX1_H+      TMP_H+      NDT_HE+     VX1_HE+     TMP_HE+     NDT_ELC     VX1_ELC     TMP_ELC     
2           9.7177e+09  8.9568e+12  -1.2564e+03 1.4980e+03  9.9055e+11  -1.2565e+03 1.4980e+03  6.0941e+06  -1.2564e+03 1.4980e+03  3.2594e+03  -1.2566e+03 1.4980e+03  6.0973e+06  -6.2179e+02 1.4987e+03  
3           9.7216e+09  8.8072e+12  -5.2110e+02 1.4911e+03  9.5903e+11  -5.2127e+02 1.4911e+03  6.1066e+06  -5.2110e+02 1.4911e+03  3.3951e+03  -5.2158e+02 1.4911e+03  6.1099e+06  -2.6774e+02 1.4918e+03  
4           9.7256e+09  8.5904e+12  -2.4681e+02 1.4848e+03  9.1609e+11  -2.4702e+02 1.4848e+03  6.1723e+06  -2.4682e+02 1.4848e+03  3.6201e+03  -2.4740e+02 1.4848e+03  6.1760e+06  -1.1962e+02 1.4855e+03  
5           9.7296e+09  8.3452e+12  -1.0947e+02 1.4787e+03  8.6989e+11  -1.0971e+02 1.4787e+03  6.2934e+06  -1.0948e+02 1.4787e+03  3.8766e+03  -1.1012e+02 1.4787e+03  6.2972e+06  -5.4155e+01 1.4794e+03  
6           9.7337e+09  8.0897e+12  -4.8338e+01 1.4725e+03  8.2408e+11  -4.8599e+01 1.4725e+03  6.4639e+06  -4.8358e+01 1.4725e+03  4.1483e+03  -4.9031e+01 1.4725e+03  6.4681e+06  -2.2969e+01 1.4732e+03  
7           9.7379e+09  7.8318e+12  -2.1068e+01 1.4662e+03  7.8011e+11  -2.1348e+01 1.4662e+03  6.6751e+06  -2.1090e+01 1.4662e+03  4.4379e+03  -2.1803e+01 1.4662e+03  6.6795e+06  -9.5503e+00 1.4669e+03  
8           9.7421e+09  7.5749e+12  -8.7882e+00 1.4599e+03  7.3849e+11  -9.0857e+00 1.4599e+03  6.9174e+06  -8.8120e+00 1.4599e+03  4.7521e+03  -9.5683e+00 1.4599e+03  6.9222e+06  -3.4293e+00 1.4605e+03  
9           9.7463e+09  7.3207e+12  -3.2300e+00 1.4535e+03  6.9937e+11  -3.5463e+00 1.4535e+03  7.1824e+06  -3.2551e+00 1.4535e+03  5.0970e+03  -4.0585e+00 1.4535e+03  7.1875e+06  -6.6416e-01 1.4541e+03  
10          9.7507e+09  7.0697e+12  -7.9028e-01 1.4470e+03  6.6270e+11  -1.1262e+00 1.4470e+03  7.4629e+06  -8.1601e-01 1.4470e+03  5.4778e+03  -1.6698e+00 1.4470e+03  7.4684e+06  5.4691e-01  1.4476e+03  
11          9.7551e+09  6.8224e+12  2.8175e-01  1.4405e+03  6.2841e+11  -1.6892e-01 1.4405e+03  7.7531e+06  2.4260e-01  1.4405e+03  5.9001e+03  -7.4539e-01 1.4405e+03  7.7590e+06  1.1962e+00  1.4410e+03  
12          9.7595e+09  6.5791e+12  8.9429e-01  1.4339e+03  5.9636e+11  3.2616e-01  1.4339e+03  8.0488e+06  8.5491e-01  1.4339e+03  6.3699e+03  -3.9363e-01 1.4339e+03  8.0552e+06  1.8104e+00  1.4344e+03  
13          9.7641e+09  6.3397e+12  9.4339e-01  1.4272e+03  5.6642e+11  3.4020e-01  1.4272e+03  8.3471e+06  9.0393e-01  1.4272e+03  6.8945e+03  -4.2050e-01 1.4272e+03  8.3540e+06  1.8578e+00  1.4277e+03  
14          9.7686e+09  6.1044e+12  9.9782e-01  1.4205e+03  5.3846e+11  3.5734e-01  1.4205e+03  8.6462e+06  9.5831e-01  1.4205e+03  7.4822e+03  -4.4694e-01 1.4205e+03  8.6537e+06  1.9116e+00  1.4210e+03  
15          9.7733e+09  5.8732e+12  1.0314e+00  1.4137e+03  5.1234e+11  3.5133e-01  1.4137e+03  8.9454e+06  9.9177e-01  1.4137e+03  8.1426e+03  -4.9036e-01 1.4137e+03  8.9536e+06  1.9439e+00  1.4142e+03  
16          9.7780e+09  5.6461e+12  1.0676e+00  1.4069e+03  4.8793e+11  3.4557e-01  1.4069e+03  9.2449e+06  1.0277e+00  1.4069e+03  8.8872e+03  -5.3504e-01 1.4069e+03  9.2538e+06  1.9789e+00  1.4073e+03  
17          9.7828e+09  5.4232e+12  1.1039e+00  1.3999e+03  4.6511e+11  3.3742e-01  1.3999e+03  9.5455e+06  1.0636e+00  1.3999e+03  9.7292e+03  -5.8256e-01 1.3999e+03  9.5552e+06  2.0137e+00  1.4003e+03  
18          9.7877e+09  5.2047e+12  1.1421e+00  1.3929e+03  4.4375e+11  3.2850e-01  1.3929e+03  9.8486e+06  1.1011e+00  1.3929e+03  1.0684e+04  -6.3170e-01 1.3929e+03  9.8593e+06  2.0501e+00  1.3933e+03  
19          9.7926e+09  4.9904e+12  1.1822e+00  1.3859e+03  4.2375e+11  3.1886e-01  1.3859e+03  1.0156e+07  1.1403e+00  1.3859e+03  1.1769e+04  -6.8221e-01 1.3859e+03  1.0168e+07  2.0882e+00  1.3863e+03  
20          9.7976e+09  4.7805e+12  1.2246e+00  1.3788e+03  4.0498e+11  3.0867e-01  1.3788e+03  1.0469e+07  1.1816e+00  1.3788e+03  1.3006e+04  -7.3377e-01 1.3788e+03  1.0482e+07  2.1282e+00  1.3791e+03  
21          9.8027e+09  4.5751e+12  1.2704e+00  1.3716e+03  3.8734e+11  2.9897e-01  1.3716e+03  1.0791e+07  1.2260e+00  1.3716e+03  1.4419e+04  -7.8546e-01 1.3716e+03  1.0805e+07  2.1715e+00  1.3719e+03  
22          9.8079e+09  4.3742e+12  1.3167e+00  1.3643e+03  3.7072e+11  2.8660e-01  1.3643e+03  1.1123e+07  1.2706e+00  1.3643e+03  1.6037e+04  -8.3914e-01 1.3643e+03  1.1139e+07  2.2148e+00  1.3647e+03  
23          9.8131e+09  4.1779e+12  1.3797e+00  1.3570e+03  3.5504e+11  2.8762e-01  1.3570e+03  1.1467e+07  1.3317e+00  1.3570e+03  1.7892e+04  -8.8388e-01 1.3570e+03  1.1485e+07  2.2749e+00  1.3573e+03  
24          9.8184e+09  3.9862e+12  1.3770e+00  1.3496e+03  3.4020e+11  2.1942e-01  1.3496e+03  1.1825e+07  1.3268e+00  1.3496e+03  2.0024e+04  -9.7448e-01 1.3496e+03  1.1845e+07  2.2664e+00  1.3499e+03  
