I           X1          NDT_H       VX1_H       TMP_H       NDT_HE      VX1_HE      TMP_HE      NDT_H+      VX1_H+      TMP_H+      NDT_HE+     VX1_HE+     TMP_HE+     NDT_ELC     VX1_ELC     TMP_ELC     
2           9.7177e+09  8.8870e+12  -1.7791e+03 1.4973e+03  9.7599e+11  -1.7794e+03 1.4973e+03  5.9192e+06  -1.7791e+03 1.4973e+03  4.1725e+03  -1.7797e+03 1.4973e+03  5.9231e+06  -1.7790e+03 1.4986e+03  
3           9.7216e+09  8.6110e+12  1.1405e+00  1.4906e+03  9.1871e+11  7.9837e-01  1.4906e+03  5.9774e+06  1.1186e+00  1.4906e+03  4.3408e+03  2.3172e-01  1.4906e+03  5.9817e+06  1.1984e+00  1.4917e+03  
4           9.7256e+09  8.3463e+12  2.3213e+01  1.4849e+03  8.6568e+11  2.2858e+01  1.4849e+03  6.1499e+06  2.3179e+01  1.4849e+03  4.6404e+03  2.2202e+01  1.4849e+03  6.1545e+06  2.3055e+01  1.4860e+03  
5           9.7296e+09  8.0890e+12  3.1974e+00  1.4787e+03  8.1595e+11  2.8268e+00  1.4787e+03  6.4082e+06  3.1562e+00  1.4787e+03  4.9810e+03  2.1426e+00  1.4787e+03  6.4131e+06  3.3382e+00  1.4799e+03  
6           9.7337e+09  7.8357e+12  1.5002e+00  1.4725e+03  7.6876e+11  1.1128e+00  1.4725e+03  6.7279e+06  1.4542e+00  1.4725e+03  5.3391e+03  4.0273e-01  1.4725e+03  6.7332e+06  1.4082e+00  1.4736e+03  
7           9.7379e+09  7.5866e+12  9.1735e-01  1.4662e+03  7.2405e+11  5.1202e-01  1.4662e+03  7.0899e+06  8.6880e-01  1.4662e+03  5.7188e+03  -2.3280e-01 1.4662e+03  7.0956e+06  8.9049e-01  1.4672e+03  
8           9.7421e+09  7.3417e+12  1.0037e+00  1.4599e+03  6.8171e+11  5.7923e-01  1.4599e+03  7.4780e+06  9.5432e-01  1.4599e+03  6.1278e+03  -2.0734e-01 1.4599e+03  7.4841e+06  9.7167e-01  1.4608e+03  
9           9.7463e+09  7.1009e+12  9.9491e-01  1.4535e+03  6.4166e+11  5.5002e-01  1.4535e+03  7.8794e+06  9.4588e-01  1.4535e+03  6.5718e+03  -2.8247e-01 1.4535e+03  7.8860e+06  9.6158e-01  1.4543e+03  
10          9.7507e+09  6.8642e+12  1.0356e+00  1.4470e+03  6.0381e+11  5.6890e-01  1.4470e+03  8.2841e+06  9.8764e-01  1.4470e+03  7.0552e+03  -3.1260e-01 1.4470e+03  8.2911e+06  1.0037e+00  1.4478e+03  
11          9.7551e+09  6.6317e+12  1.0723e+00  1.4405e+03  5.6808e+11  5.8215e-01  1.4405e+03  8.6845e+06  1.0257e+00  1.4405e+03  7.5824e+03  -3.5128e-01 1.4405e+03  8.6921e+06  1.0416e+00  1.4412e+03  
12          9.7595e+09  6.4034e+12  1.1126e+00  1.4339e+03  5.3437e+11  5.9750e-01  1.4339e+03  9.0755e+06  1.0676e+00  1.4339e+03  8.1583e+03  -3.9096e-01 1.4339e+03  9.0837e+06  1.0834e+00  1.4346e+03  
13          9.7641e+09  6.1793e+12  1.1540e+00  1.4272e+03  5.0262e+11  6.1202e-01  1.4272e+03  9.4540e+06  1.1105e+00  1.4272e+03  8.7885e+03  -4.3470e-01 1.4272e+03  9.4628e+06  1.1261e+00  1.4279e+03  
14          9.7686e+09  5.9594e+12  1.1969e+00  1.4205e+03  4.7272e+11  6.2620e-01  1.4205e+03  9.8186e+06  1.1549e+00  1.4205e+03  9.4791e+03  -4.8210e-01 1.4205e+03  9.8280e+06  1.1703e+00  1.4211e+03  
15          9.7733e+09  5.7437e+12  1.2413e+00  1.4137e+03  4.4460e+11  6.3979e-01  1.4137e+03  1.0169e+07  1.2005e+00  1.4137e+03  1.0237e+04  -5.3344e-01 1.4137e+03  1.0179e+07  1.2158e+00  1.4143e+03  
16          9.7780e+09  5.5322e+12  1.2874e+00  1.4069e+03  4.1818e+11  6.5277e-01  1.4069e+03  1.0506e+07  1.2476e+00  1.4069e+03  1.1071e+04  -5.8873e-01 1.4069e+03  1.0517e+07  1.2626e+00  1.4074e+03  
17          9.7828e+09  5.3249e+12  1.3353e+00  1.3999e+03  3.9338e+11  6.6507e-01  1.3999e+03  1.0831e+07  1.2961e+00  1.3999e+03  1.1989e+04  -6.4801e-01 1.3999e+03  1.0843e+07  1.3109e+00  1.4005e+03  
18          9.7877e+09  5.1219e+12  1.3850e+00  1.3929e+03  3.7011e+11  6.7660e-01  1.3929e+03  1.1147e+07  1.3461e+00  1.3929e+03  1.3002e+04  -7.1127e-01 1.3929e+03  1.1160e+07  1.3607e+00  1.3935e+03  
19          9.7926e+09  4.9230e+12  1.4368e+00  1.3859e+03  3.4831e+11  6.8736e-01  1.3859e+03  1.1455e+07  1.3980e+00  1.3859e+03  1.4121e+04  -7.7842e-01 1.3859e+03  1.1469e+07  1.4123e+00  1.3864e+03  
20          9.7976e+09  4.7284e+12  1.4907e+00  1.3788e+03  3.2790e+11  6.9709e-01  1.3788e+03  1.1759e+07  1.4516e+00  1.3788e+03  1.5359e+04  -8.4953e-01 1.3788e+03  1.1775e+07  1.4655e+00  1.3792e+03  
21          9.8027e+09  4.5381e+12  1.5476e+00  1.3716e+03  3.0879e+11  7.0665e-01  1.3716e+03  1.2061e+07  1.5080e+00  1.3716e+03  1.6731e+04  -9.2352e-01 1.3716e+03  1.2078e+07  1.5216e+00  1.3720e+03  
22          9.8079e+09  4.3519e+12  1.6040e+00  1.3643e+03  2.9093e+11  7.1202e-01  1.3643e+03  1.2363e+07  1.5636e+00  1.3643e+03  1.8253e+04  -1.0042e+00 1.3643e+03  1.2381e+07  1.5766e+00  1.3648e+03  
23          9.8131e+09  4.1701e+12  1.6779e+00  1.3570e+03  2.7423e+11  7.3114e-01  1.3570e+03  1.2667e+07  1.6365e+00  1.3570e+03  1.9946e+04  -1.0731e+00 1.3570e+03  1.2687e+07  1.6494e+00  1.3574e+03  
24          9.8184e+09  3.9924e+12  1.6792e+00  1.3496e+03  2.5864e+11  6.7353e-01  1.3496e+03  1.2975e+07  1.6365e+00  1.3496e+03  2.1830e+04  -1.2204e+00 1.3496e+03  1.2997e+07  1.6466e+00  1.3500e+03  
25          9.8238e+09  3.8190e+12  2.0816e+00  1.3421e+03  2.4408e+11  1.0126e+00  1.3421e+03  1.3289e+07  2.0375e+00  1.3421e+03  2.3931e+04  -9.7219e-01 1.3421e+03  1.3313e+07  2.0532e+00  1.3426e+03  
26          9.8293e+09  3.6499e+12  1.1887e+00  1.3346e+03  2.3049e+11  5.1721e-02  1.3346e+03  1.3609e+07  1.1429e+00  1.3346e+03  2.6278e+04  -2.0245e+00 1.3346e+03  1.3636e+07  1.1513e+00  1.3350e+03  
27          9.8348e+09  3.4850e+12  2.6528e+00  1.3270e+03  2.1780e+11  1.4426e+00  1.3270e+03  1.3938e+07  2.6053e+00  1.3270e+03  2.8904e+04  -7.2504e-01 1.3270e+03  1.3967e+07  2.6179e+00  1.3274e+03  
28          9.8404e+09  3.3244e+12  1.6332e+00  1.3193e+03  2.0597e+11  3.4445e-01  1.3193e+03  1.4275e+07  1.5838e+00  1.3193e+03  3.1847e+04  -1.9135e+00 1.3193e+03  1.4307e+07  1.5883e+00  1.3198e+03  
29          9.8461e+09  3.1680e+12  2.1491e+00  1.3116e+03  1.9492e+11  7.7588e-01  1.3116e+03  1.4621e+07  2.0976e+00  1.3116e+03  3.5149e+04  -1.5709e+00 1.3116e+03  1.4656e+07  2.1077e+00  1.3120e+03  
30          9.8519e+09  3.0158e+12  2.1439e+00  1.3038e+03  1.8461e+11  6.7984e-01  1.3038e+03  1.4975e+07  2.0902e+00  1.3038e+03  3.8861e+04  -1.7531e+00 1.3038e+03  1.5014e+07  2.0967e+00  1.3042e+03  
31          9.8578e+09  2.8679e+12  2.2603e+00  1.2960e+03  1.7497e+11  6.9859e-01  1.2960e+03  1.5339e+07  2.2043e+00  1.2960e+03  4.3039e+04  -1.8169e+00 1.2960e+03  1.5382e+07  2.2099e+00  1.2964e+03  
32          9.8638e+09  2.7243e+12  2.3580e+00  1.2880e+03  1.6597e+11  6.9129e-01  1.2880e+03  1.5710e+07  2.2996e+00  1.2880e+03  4.7751e+04  -1.9022e+00 1.2880e+03  1.5758e+07  2.3035e+00  1.2884e+03  
33          9.8698e+09  2.5848e+12  2.4696e+00  1.2801e+03  1.5754e+11  6.9004e-01  1.2801e+03  1.6090e+07  2.4087e+00  1.2801e+03  5.3071e+04  -1.9757e+00 1.2801e+03  1.6143e+07  2.4110e+00  1.2804e+03  
34          9.8759e+09  2.4496e+12  2.5883e+00  1.2720e+03  1.4965e+11  6.8726e-01  1.2720e+03  1.6476e+07  2.5248e+00  1.2720e+03  5.9088e+04  -2.0439e+00 1.2720e+03  1.6535e+07  2.5252e+00  1.2724e+03  
35          9.8822e+09  2.3187e+12  2.7171e+00  1.2639e+03  1.4225e+11  6.8520e-01  1.2639e+03  1.6868e+07  2.6508e+00  1.2639e+03  6.5901e+04  -2.1036e+00 1.2639e+03  1.6933e+07  2.6490e+00  1.2642e+03  
36          9.8885e+09  2.1919e+12  2.8566e+00  1.2557e+03  1.3530e+11  6.8373e-01  1.2557e+03  1.7264e+07  2.7874e+00  1.2557e+03  7.3627e+04  -2.1535e+00 1.2557e+03  1.7338e+07  2.7831e+00  1.2560e+03  
37          9.8949e+09  2.0693e+12  3.0082e+00  1.2474e+03  1.2877e+11  6.8334e-01  1.2474e+03  1.7664e+07  2.9360e+00  1.2474e+03  8.2402e+04  -2.1921e+00 1.2474e+03  1.7746e+07  2.9288e+00  1.2478e+03  
38          9.9014e+09  1.9509e+12  3.1734e+00  1.2391e+03  1.2260e+11  6.8445e-01  1.2391e+03  1.8066e+07  3.0981e+00  1.2391e+03  9.2381e+04  -2.2177e+00 1.2391e+03  1.8158e+07  3.0876e+00  1.2395e+03  
39          9.9080e+09  1.8367e+12  3.3538e+00  1.2307e+03  1.1678e+11  6.8753e-01  1.2307e+03  1.8468e+07  3.2751e+00  1.2307e+03  1.0375e+05  -2.2286e+00 1.2307e+03  1.8572e+07  3.2609e+00  1.2311e+03  
40          9.9147e+09  1.7266e+12  3.5513e+00  1.2223e+03  1.1127e+11  6.9314e-01  1.2223e+03  1.8870e+07  3.4690e+00  1.2223e+03  1.1671e+05  -2.2229e+00 1.2223e+03  1.8987e+07  3.4506e+00  1.2226e+03  
41          9.9215e+09  1.6206e+12  3.7681e+00  1.2138e+03  1.0603e+11  7.0186e-01  1.2138e+03  1.9270e+07  3.6819e+00  1.2138e+03  1.3152e+05  -2.1987e+00 1.2138e+03  1.9401e+07  3.6585e+00  1.2141e+03  
42          9.9284e+09  1.5187e+12  4.0065e+00  1.2052e+03  1.0105e+11  7.1436e-01  1.2052e+03  1.9667e+07  3.9159e+00  1.2052e+03  1.4847e+05  -2.1537e+00 1.2052e+03  1.9816e+07  3.8869e+00  1.2055e+03  
43          9.9353e+09  1.4208e+12  4.2691e+00  1.1965e+03  9.6307e+10  7.3135e-01  1.1965e+03  2.0062e+07  4.1737e+00  1.1965e+03  1.6789e+05  -2.0855e+00 1.1965e+03  2.0230e+07  4.1382e+00  1.1969e+03  
44          9.9424e+09  1.3270e+12  4.5592e+00  1.1878e+03  9.1767e+10  7.5366e-01  1.1878e+03  2.0456e+07  4.4580e+00  1.1878e+03  1.9019e+05  -1.9911e+00 1.1878e+03  2.0647e+07  4.4150e+00  1.1882e+03  
45          9.9496e+09  1.2372e+12  4.8800e+00  1.1791e+03  8.7416e+10  7.8204e-01  1.1791e+03  2.0852e+07  4.7719e+00  1.1791e+03  2.1585e+05  -1.8676e+00 1.1791e+03  2.1068e+07  4.7203e+00  1.1794e+03  
46          9.9569e+09  1.1513e+12  5.2360e+00  1.1702e+03  8.3235e+10  8.1798e-01  1.1702e+03  2.1255e+07  5.1194e+00  1.1702e+03  2.4545e+05  -1.7105e+00 1.1703e+03  2.1500e+07  5.0579e+00  1.1706e+03  
47          9.9643e+09  1.0693e+12  5.6289e+00  1.1614e+03  7.9208e+10  8.5983e-01  1.1614e+03  2.1672e+07  5.5018e+00  1.1614e+03  2.7969e+05  -1.5181e+00 1.1614e+03  2.1952e+07  5.4287e+00  1.1617e+03  
48          9.9719e+09  9.9113e+11  6.0787e+00  1.1524e+03  7.5323e+10  9.2345e-01  1.1524e+03  2.2115e+07  5.9379e+00  1.1524e+03  3.1944e+05  -1.2708e+00 1.1524e+03  2.2435e+07  5.8517e+00  1.1527e+03  
49          9.9795e+09  9.1678e+11  6.5036e+00  1.1434e+03  7.1567e+10  9.2273e-01  1.1434e+03  2.2600e+07  6.3453e+00  1.1434e+03  3.6581e+05  -1.0507e+00 1.1434e+03  2.2966e+07  6.2431e+00  1.1437e+03  
50          9.9872e+09  8.4617e+11  7.3995e+00  1.1343e+03  6.7929e+10  1.3480e+00  1.1343e+03  2.3146e+07  7.2185e+00  1.1343e+03  4.2028e+05  -3.6361e-01 1.1343e+03  2.3566e+07  7.1013e+00  1.1346e+03  
51          9.9951e+09  7.7923e+11  6.9761e+00  1.1252e+03  6.4401e+10  4.0333e-01  1.1252e+03  2.3778e+07  6.7660e+00  1.1252e+03  4.8495e+05  -1.0024e+00 1.1252e+03  2.4263e+07  6.6260e+00  1.1255e+03  
52          1.0003e+10  7.1590e+11  9.2119e+00  1.1160e+03  6.0976e+10  2.0592e+00  1.1160e+03  2.4527e+07  8.9646e+00  1.1160e+03  5.6290e+05  1.0065e+00  1.1160e+03  2.5090e+07  8.8036e+00  1.1163e+03  
53          1.0011e+10  6.5610e+11  8.6930e+00  1.1068e+03  5.7649e+10  8.9457e-01  1.1068e+03  2.5425e+07  8.3991e+00  1.1068e+03  6.5884e+05  2.4622e-01  1.1068e+03  2.6084e+07  8.2074e+00  1.1070e+03  
54          1.0019e+10  5.9976e+11  1.0089e+01  1.0975e+03  5.4413e+10  1.5690e+00  1.0975e+03  2.6506e+07  9.7381e+00  1.0975e+03  7.8010e+05  1.3853e+00  1.0975e+03  2.7286e+07  9.5164e+00  1.0977e+03  
55          1.0028e+10  5.4680e+11  1.0929e+01  1.0881e+03  5.1266e+10  1.5990e+00  1.0881e+03  2.7803e+07  1.0508e+01  1.0881e+03  9.3801e+05  1.9600e+00  1.0881e+03  2.8741e+07  1.0245e+01  1.0883e+03  
56          1.0036e+10  4.9713e+11  1.2044e+01  1.0787e+03  4.8207e+10  1.8036e+00  1.0787e+03  2.9345e+07  1.1540e+01  1.0787e+03  1.1496e+06  2.8242e+00  1.0787e+03  3.0494e+07  1.1227e+01  1.0789e+03  
57          1.0045e+10  4.5067e+11  1.3267e+01  1.0692e+03  4.5232e+10  1.9996e+00  1.0692e+03  3.1147e+07  1.2665e+01  1.0692e+03  1.4395e+06  3.8434e+00  1.0692e+03  3.2587e+07  1.2291e+01  1.0694e+03  
58          1.0053e+10  4.0731e+11  1.4659e+01  1.0597e+03  4.2342e+10  2.2302e+00  1.0597e+03  3.3211e+07  1.3941e+01  1.0597e+03  1.8418e+06  5.1137e+00  1.0597e+03  3.5053e+07  1.3493e+01  1.0599e+03  
59          1.0062e+10  3.6696e+11  1.6236e+01  1.0502e+03  3.9536e+10  2.4887e+00  1.0502e+03  3.5517e+07  1.5381e+01  1.0502e+03  2.4012e+06  6.6704e+00  1.0502e+03  3.7918e+07  1.4846e+01  1.0503e+03  
60          1.0071e+10  3.2953e+11  1.8029e+01  1.0405e+03  3.6815e+10  2.7807e+00  1.0405e+03  3.8021e+07  1.7009e+01  1.0405e+03  3.1723e+06  8.5383e+00  1.0405e+03  4.1193e+07  1.6373e+01  1.0407e+03  
61          1.0080e+10  2.9490e+11  2.0074e+01  1.0309e+03  3.4180e+10  3.1099e+00  1.0309e+03  4.0653e+07  1.8851e+01  1.0309e+03  4.2182e+06  1.0719e+01  1.0309e+03  4.4871e+07  1.8102e+01  1.0310e+03  
62          1.0089e+10  2.6297e+11  2.2407e+01  1.0211e+03  3.1633e+10  3.4774e+00  1.0211e+03  4.3321e+07  2.0929e+01  1.0211e+03  5.6058e+06  1.3200e+01  1.0211e+03  4.8926e+07  2.0059e+01  1.0213e+03  
63          1.0099e+10  2.3363e+11  2.5106e+01  1.0114e+03  2.9175e+10  3.9165e+00  1.0114e+03  4.5916e+07  2.3300e+01  1.0114e+03  7.3993e+06  1.6000e+01  1.0114e+03  5.3315e+07  2.2303e+01  1.0115e+03  
64          1.0108e+10  2.0675e+11  2.8090e+01  1.0016e+03  2.6808e+10  4.2936e+00  1.0016e+03  4.8324e+07  2.5858e+01  1.0016e+03  9.6524e+06  1.8980e+01  1.0016e+03  5.7976e+07  2.4729e+01  1.0017e+03  
65          1.0118e+10  1.8224e+11  3.2745e+01  9.9169e+02  2.4535e+10  5.9327e+00  9.9169e+02  5.0434e+07  2.9952e+01  9.9169e+02  1.2400e+07  2.3469e+01  9.9170e+02  6.2834e+07  2.8688e+01  9.9184e+02  
66          1.0128e+10  1.5996e+11  3.1012e+01  9.8178e+02  2.2356e+10  6.9525e-01  9.8178e+02  5.2155e+07  2.7477e+01  9.8179e+02  1.5648e+07  2.1349e+01  9.8179e+02  6.7803e+07  2.6080e+01  9.8193e+02  
67          1.0137e+10  1.3982e+11  7.3167e+01  9.7181e+02  2.0282e+10  3.8763e+01  9.7181e+02  5.3430e+07  6.8653e+01  9.7182e+02  1.9373e+07  6.2840e+01  9.7182e+02  7.2803e+07  6.7122e+01  9.7196e+02  
68          1.0147e+10  1.2164e+11  9.3822e+01  9.6186e+02  1.8298e+10  5.4756e+01  9.6186e+02  5.4222e+07  8.8018e+01  9.6187e+02  2.3493e+07  8.2488e+01  9.6187e+02  7.7714e+07  8.6361e+01  9.6202e+02  
69          1.0158e+10  1.0510e+11  4.7866e+01  9.5477e+02  1.6346e+10  3.5022e+00  9.5477e+02  5.4485e+07  4.0364e+01  9.5479e+02  2.7841e+07  3.5060e+01  9.5479e+02  8.2326e+07  3.8588e+01  9.5494e+02  
70          1.0168e+10  8.9966e+10  2.7921e+01  9.5331e+02  1.4401e+10  -2.2731e+01 9.5331e+02  5.4232e+07  1.8169e+01  9.5333e+02  3.2216e+07  1.3000e+01  9.5333e+02  8.6448e+07  1.6258e+01  9.5349e+02  
71          1.0178e+10  7.6198e+10  1.2400e+01  9.6024e+02  1.2485e+10  -4.5895e+01 9.6024e+02  5.3552e+07  -3.1906e-01 9.6027e+02  3.6426e+07  -5.4682e+00 9.6027e+02  8.9979e+07  -2.3878e+00 9.6043e+02  
72          1.0189e+10  6.3799e+10  1.5440e+01  9.7829e+02  1.0641e+10  -5.2308e+01 9.7830e+02  5.2564e+07  -1.1786e+00 9.7833e+02  4.0297e+07  -6.4421e+00 9.7833e+02  9.2861e+07  -3.4470e+00 9.7849e+02  
73          1.0200e+10  5.2798e+10  3.4726e+01  1.0104e+03  8.9200e+09  -4.4816e+01 1.0104e+03  5.1393e+07  1.3011e+01  1.0104e+03  4.3690e+07  7.4699e+00  1.0104e+03  9.5082e+07  1.0481e+01  1.0106e+03  
74          1.0211e+10  4.3207e+10  7.3617e+01  1.0597e+03  7.3640e+09  -2.0719e+01 1.0597e+03  5.0144e+07  4.5267e+01  1.0597e+03  4.6512e+07  3.9242e+01  1.0598e+03  9.6656e+07  4.2383e+01  1.0599e+03  
75          1.0222e+10  3.5000e+10  1.3152e+02  1.1300e+03  6.0015e+09  1.8570e+01  1.1300e+03  4.8886e+07  9.4551e+01  1.1300e+03  4.8729e+07  8.7765e+01  1.1300e+03  9.7615e+07  9.1179e+01  1.1302e+03  
76          1.0233e+10  2.8104e+10  2.0767e+02  1.2256e+03  4.8431e+09  7.1227e+01  1.2256e+03  4.7653e+07  1.5948e+02  1.2256e+03  5.0357e+07  1.5156e+02  1.2256e+03  9.8009e+07  1.5543e+02  1.2258e+03  
77          1.0245e+10  2.2409e+10  2.9951e+02  1.3514e+03  3.8837e+09  1.3333e+02  1.3514e+03  4.6446e+07  2.3668e+02  1.3515e+03  5.1458e+07  2.2707e+02  1.3515e+03  9.7903e+07  2.3164e+02  1.3517e+03  
78          1.0256e+10  1.7777e+10  4.0379e+02  1.5134e+03  3.1062e+09  1.9991e+02  1.5134e+03  4.5254e+07  3.2181e+02  1.5135e+03  5.2121e+07  3.0972e+02  1.5135e+03  9.7375e+07  3.1536e+02  1.5137e+03  
79          1.0268e+10  1.4059e+10  5.1680e+02  1.7179e+03  2.4865e+09  2.6517e+02  1.7179e+03  4.4070e+07  4.0976e+02  1.7180e+03  5.2441e+07  3.9405e+02  1.7180e+03  9.6510e+07  4.0124e+02  1.7183e+03  
80          1.0280e+10  1.1106e+10  6.3503e+02  1.9721e+03  1.9981e+09  3.2344e+02  1.9721e+03  4.2902e+07  4.9545e+02  1.9721e+03  5.2494e+07  4.7452e+02  1.9722e+03  9.5396e+07  4.8395e+02  1.9724e+03  
81          1.0292e+10  8.7820e+09  7.5559e+02  2.2831e+03  1.6154e+09  3.7009e+02  2.2831e+03  4.1787e+07  5.7449e+02  2.2831e+03  5.2329e+07  5.4614e+02  2.2832e+03  9.4116e+07  5.5874e+02  2.2835e+03  
