I           X1          NDT_H       VX1_H       TMP_H       NDT_HE      VX1_HE      TMP_HE      NDT_H+      VX1_H+      TMP_H+      NDT_HE+     VX1_HE+     TMP_HE+     NDT_ELC     VX1_ELC     TMP_ELC     
2           9.7167e+09  9.1443e+12  -6.5278e+02 1.4996e+03  7.6358e+11  -6.5309e+02 1.4996e+03  7.9803e+06  -6.5280e+02 1.4996e+03  9.8188e+03  -6.5359e+02 1.4996e+03  7.9896e+06  -6.5017e+02 1.5004e+03  
3           9.7187e+09  8.9889e+12  3.2483e+00  1.4995e+03  7.3911e+11  2.9230e+00  1.4995e+03  8.0531e+06  3.1894e+00  1.4995e+03  9.8218e+03  2.1483e+00  1.4995e+03  8.0627e+06  3.3196e-01  1.5002e+03  
4           9.7206e+09  8.8392e+12  1.9801e+01  1.4999e+03  7.1650e+11  1.9462e+01  1.4999e+03  8.2228e+06  1.9717e+01  1.4999e+03  9.8382e+03  1.8718e+01  1.4999e+03  8.2328e+06  1.9645e+01  1.5008e+03  
5           9.7226e+09  8.6934e+12  1.2496e+01  1.5000e+03  6.9533e+11  1.2141e+01  1.5000e+03  8.4614e+06  1.2396e+01  1.5000e+03  9.8496e+03  1.1389e+01  1.5000e+03  8.4713e+06  1.3440e+01  1.5009e+03  
6           9.7246e+09  8.5493e+12  9.9691e+00  1.5000e+03  6.7519e+11  9.5994e+00  1.5000e+03  8.7452e+06  9.8603e+00  1.5000e+03  9.8604e+03  8.8270e+00  1.5000e+03  8.7551e+06  9.5957e+00  1.5008e+03  
7           9.7266e+09  8.4066e+12  9.6616e+00  1.5000e+03  6.5598e+11  9.2771e+00  1.5000e+03  9.0559e+06  9.5489e+00  1.5000e+03  9.8715e+03  8.4845e+00  1.5000e+03  9.0659e+06  9.6407e+00  1.5007e+03  
8           9.7286e+09  8.2654e+12  9.9587e+00  1.5000e+03  6.3764e+11  9.5592e+00  1.5000e+03  9.3791e+06  9.8460e+00  1.5000e+03  9.8828e+03  8.7471e+00  1.5000e+03  9.3890e+06  9.9014e+00  1.5007e+03  
9           9.7306e+09  8.1256e+12  1.0135e+01  1.5000e+03  6.2012e+11  9.7203e+00  1.5000e+03  9.7032e+06  1.0025e+01  1.5000e+03  9.8942e+03  8.8889e+00  1.5000e+03  9.7131e+06  1.0059e+01  1.5007e+03  
10          9.7326e+09  7.9874e+12  1.0312e+01  1.5000e+03  6.0336e+11  9.8825e+00  1.5000e+03  1.0020e+07  1.0207e+01  1.5000e+03  9.9057e+03  9.0318e+00  1.5000e+03  1.0030e+07  1.0250e+01  1.5006e+03  
11          9.7347e+09  7.8507e+12  1.0502e+01  1.5000e+03  5.8733e+11  1.0058e+01  1.5000e+03  1.0323e+07  1.0402e+01  1.5000e+03  9.9175e+03  9.1876e+00  1.5000e+03  1.0333e+07  1.0442e+01  1.5006e+03  
12          9.7367e+09  7.7156e+12  1.0694e+01  1.5000e+03  5.7196e+11  1.0234e+01  1.5000e+03  1.0609e+07  1.0599e+01  1.5000e+03  9.9294e+03  9.3444e+00  1.5000e+03  1.0619e+07  1.0640e+01  1.5006e+03  
13          9.7388e+09  7.5820e+12  1.0890e+01  1.5000e+03  5.5722e+11  1.0415e+01  1.5000e+03  1.0876e+07  1.0801e+01  1.5000e+03  9.9416e+03  9.5062e+00  1.5000e+03  1.0886e+07  1.0842e+01  1.5006e+03  
14          9.7408e+09  7.4499e+12  1.1091e+01  1.5000e+03  5.4307e+11  1.0600e+01  1.5000e+03  1.1124e+07  1.1007e+01  1.5000e+03  9.9539e+03  9.6719e+00  1.5000e+03  1.1134e+07  1.1048e+01  1.5006e+03  
15          9.7429e+09  7.3194e+12  1.1296e+01  1.5000e+03  5.2948e+11  1.0789e+01  1.5000e+03  1.1353e+07  1.1217e+01  1.5000e+03  9.9663e+03  9.8464e+00  1.5000e+03  1.1363e+07  1.1257e+01  1.5006e+03  
16          9.7450e+09  7.1904e+12  1.1505e+01  1.5000e+03  5.1640e+11  1.0983e+01  1.5000e+03  1.1566e+07  1.1430e+01  1.5000e+03  9.9758e+03  1.0065e+01  1.5000e+03  1.1576e+07  1.1471e+01  1.5005e+03  
17          9.7471e+09  7.0630e+12  1.1719e+01  1.5000e+03  5.0381e+11  1.1182e+01  1.5000e+03  1.1763e+07  1.1648e+01  1.5000e+03  9.9966e+03  9.9113e+00  1.5000e+03  1.1773e+07  1.1688e+01  1.5005e+03  
18          9.7492e+09  6.9371e+12  1.1938e+01  1.5000e+03  4.9168e+11  1.1385e+01  1.5000e+03  1.1948e+07  1.1869e+01  1.5000e+03  1.0201e+04  9.4483e+00  1.5000e+03  1.1959e+07  1.1909e+01  1.5005e+03  
19          9.7513e+09  6.8128e+12  1.2162e+01  1.5000e+03  4.7997e+11  1.1593e+01  1.5000e+03  1.2124e+07  1.2095e+01  1.5000e+03  1.0564e+04  9.2669e+00  1.5000e+03  1.2135e+07  1.2134e+01  1.5005e+03  
20          9.7535e+09  6.6900e+12  1.2391e+01  1.5000e+03  4.6867e+11  1.1806e+01  1.5000e+03  1.2293e+07  1.2325e+01  1.5000e+03  1.1007e+04  9.3348e+00  1.5000e+03  1.2304e+07  1.2364e+01  1.5005e+03  
21          9.7556e+09  6.5688e+12  1.2625e+01  1.5000e+03  4.5775e+11  1.2024e+01  1.5000e+03  1.2457e+07  1.2559e+01  1.5000e+03  1.1484e+04  9.4973e+00  1.5000e+03  1.2468e+07  1.2598e+01  1.5005e+03  
22          9.7578e+09  6.4492e+12  1.2864e+01  1.5000e+03  4.4719e+11  1.2247e+01  1.5000e+03  1.2618e+07  1.2799e+01  1.5000e+03  1.1984e+04  9.6759e+00  1.5000e+03  1.2630e+07  1.2837e+01  1.5005e+03  
23          9.7599e+09  6.3310e+12  1.3109e+01  1.5000e+03  4.3697e+11  1.2476e+01  1.5000e+03  1.2778e+07  1.3043e+01  1.5000e+03  1.2508e+04  9.8503e+00  1.5000e+03  1.2791e+07  1.3081e+01  1.5005e+03  
24          9.7621e+09  6.2145e+12  1.3360e+01  1.5000e+03  4.2706e+11  1.2710e+01  1.5000e+03  1.2939e+07  1.3293e+01  1.5000e+03  1.3061e+04  1.0022e+01  1.5000e+03  1.2952e+07  1.3331e+01  1.5005e+03  
