I           X1          NDT_H       VX1_H       TMP_H       NDT_HE      VX1_HE      TMP_HE      NDT_H+      VX1_H+      TMP_H+      NDT_HE+     VX1_HE+     TMP_HE+     NDT_ELC     VX1_ELC     TMP_ELC     
2           9.7177e+09  4.8507e+12  -1.9235e+03 1.4987e+03  4.7134e+12  -1.9238e+03 1.4987e+03  6.7837e+05  -1.9236e+03 1.4987e+03  4.9138e+03  -1.9229e+03 1.4987e+03  6.8313e+05  -1.9233e+03 1.5005e+03  
3           9.7216e+09  4.6230e+12  -1.5601e+02 1.4995e+03  4.2969e+12  -1.5626e+02 1.4995e+03  7.0934e+05  -1.5612e+02 1.4995e+03  1.7984e+03  -1.5521e+02 1.4995e+03  7.1112e+05  -1.5654e+02 1.5018e+03  
4           9.7256e+09  4.4026e+12  9.6838e+00  1.4999e+03  3.9113e+12  9.4084e+00  1.4999e+03  7.7506e+05  9.5195e+00  1.4999e+03  9.7853e+02  9.5992e+00  1.4890e+03  7.7605e+05  9.6392e+00  1.5023e+03  
5           9.7296e+09  4.1917e+12  1.3108e+01  1.5000e+03  3.5587e+12  1.2810e+01  1.5000e+03  8.7086e+05  1.2909e+01  1.5000e+03  9.8244e+02  1.2635e+01  1.4911e+03  8.7185e+05  1.2929e+01  1.5021e+03  
6           9.7337e+09  3.9894e+12  9.3830e+00  1.5000e+03  3.2363e+12  9.0598e+00  1.5000e+03  9.9247e+05  9.1639e+00  1.5000e+03  9.9514e+02  8.9689e+00  1.4975e+03  9.9346e+05  9.1752e+00  1.5018e+03  
7           9.7379e+09  3.7952e+12  1.0440e+01  1.4999e+03  2.9415e+12  1.0089e+01  1.4999e+03  1.1361e+06  1.0211e+01  1.4999e+03  1.0129e+03  9.9173e+00  1.4999e+03  1.1372e+06  1.0241e+01  1.5015e+03  
8           9.7421e+09  3.6088e+12  1.0651e+01  1.5000e+03  2.6724e+12  1.0269e+01  1.5000e+03  1.2986e+06  1.0419e+01  1.5000e+03  1.1163e+03  9.9603e+00  1.5000e+03  1.2997e+06  1.0446e+01  1.5013e+03  
9           9.7463e+09  3.4299e+12  1.1074e+01  1.5000e+03  2.4271e+12  1.0657e+01  1.5000e+03  1.4770e+06  1.0843e+01  1.5000e+03  1.2928e+03  1.0270e+01  1.5000e+03  1.4783e+06  1.0870e+01  1.5011e+03  
10          9.7507e+09  3.2580e+12  1.1458e+01  1.5000e+03  2.2037e+12  1.1003e+01  1.5000e+03  1.6689e+06  1.1230e+01  1.5000e+03  1.5163e+03  1.0577e+01  1.5000e+03  1.6704e+06  1.1257e+01  1.5010e+03  
11          9.7551e+09  3.0930e+12  1.1864e+01  1.5000e+03  2.0006e+12  1.1365e+01  1.5000e+03  1.8721e+06  1.1640e+01  1.5000e+03  1.7730e+03  1.0914e+01  1.5000e+03  1.8739e+06  1.1666e+01  1.5009e+03  
12          9.7595e+09  2.9345e+12  1.2275e+01  1.5000e+03  1.8161e+12  1.1728e+01  1.5000e+03  2.0849e+06  1.2055e+01  1.5000e+03  2.0612e+03  1.1248e+01  1.5000e+03  2.0870e+06  1.2082e+01  1.5008e+03  
13          9.7641e+09  2.7822e+12  1.2697e+01  1.5000e+03  1.6487e+12  1.2095e+01  1.5000e+03  2.3061e+06  1.2480e+01  1.5000e+03  2.3865e+03  1.1580e+01  1.5000e+03  2.3085e+06  1.2507e+01  1.5007e+03  
14          9.7686e+09  2.6358e+12  1.3129e+01  1.5000e+03  1.4970e+12  1.2466e+01  1.5000e+03  2.5348e+06  1.2914e+01  1.5000e+03  2.7583e+03  1.1906e+01  1.5000e+03  2.5376e+06  1.2940e+01  1.5006e+03  
15          9.7733e+09  2.4953e+12  1.3570e+01  1.5000e+03  1.3598e+12  1.2839e+01  1.5000e+03  2.7705e+06  1.3357e+01  1.5000e+03  3.1888e+03  1.2226e+01  1.5000e+03  2.7737e+06  1.3384e+01  1.5005e+03  
16          9.7780e+09  2.3602e+12  1.4022e+01  1.5000e+03  1.2356e+12  1.3214e+01  1.5000e+03  3.0131e+06  1.3810e+01  1.5000e+03  3.6936e+03  1.2540e+01  1.5000e+03  3.0168e+06  1.3836e+01  1.5005e+03  
17          9.7828e+09  2.2305e+12  1.4485e+01  1.5000e+03  1.1235e+12  1.3591e+01  1.5000e+03  3.2628e+06  1.4272e+01  1.5000e+03  4.2914e+03  1.2846e+01  1.5000e+03  3.2671e+06  1.4298e+01  1.5004e+03  
18          9.7877e+09  2.1059e+12  1.4959e+01  1.5000e+03  1.0222e+12  1.3969e+01  1.5000e+03  3.5201e+06  1.4744e+01  1.5000e+03  5.0058e+03  1.3144e+01  1.5000e+03  3.5251e+06  1.4769e+01  1.5004e+03  
19          9.7926e+09  1.9864e+12  1.5444e+01  1.5000e+03  9.3091e+11  1.4347e+01  1.5000e+03  3.7858e+06  1.5226e+01  1.5000e+03  5.8661e+03  1.3433e+01  1.5000e+03  3.7917e+06  1.5251e+01  1.5004e+03  
20          9.7976e+09  1.8716e+12  1.5943e+01  1.5000e+03  8.4858e+11  1.4727e+01  1.5000e+03  4.0609e+06  1.5721e+01  1.5000e+03  6.9077e+03  1.3715e+01  1.5000e+03  4.0678e+06  1.5745e+01  1.5004e+03  
21          9.8027e+09  1.7615e+12  1.6458e+01  1.5000e+03  7.7437e+11  1.5109e+01  1.5000e+03  4.3465e+06  1.6230e+01  1.5000e+03  8.1744e+03  1.3993e+01  1.5000e+03  4.3547e+06  1.6253e+01  1.5003e+03  
22          9.8079e+09  1.6560e+12  1.6990e+01  1.5000e+03  7.0750e+11  1.5493e+01  1.5000e+03  4.6439e+06  1.6754e+01  1.5000e+03  9.7195e+03  1.4264e+01  1.5000e+03  4.6536e+06  1.6775e+01  1.5003e+03  
23          9.8131e+09  1.5549e+12  1.7557e+01  1.5000e+03  6.4722e+11  1.5896e+01  1.5000e+03  4.9544e+06  1.7312e+01  1.5000e+03  1.1608e+04  1.4550e+01  1.5000e+03  4.9660e+06  1.7333e+01  1.5003e+03  
24          9.8184e+09  1.4581e+12  1.8073e+01  1.5000e+03  5.9288e+11  1.6232e+01  1.5000e+03  5.2795e+06  1.7818e+01  1.5000e+03  1.3919e+04  1.4762e+01  1.5000e+03  5.2934e+06  1.7833e+01  1.5003e+03  
25          9.8238e+09  1.3656e+12  1.9065e+01  1.5000e+03  5.4384e+11  1.7026e+01  1.5000e+03  5.6205e+06  1.8799e+01  1.5000e+03  1.6748e+04  1.5428e+01  1.5000e+03  5.6372e+06  1.8841e+01  1.5003e+03  
26          9.8293e+09  1.2772e+12  1.8694e+01  1.5000e+03  4.9955e+11  1.6437e+01  1.5000e+03  5.9789e+06  1.8415e+01  1.5000e+03  2.0214e+04  1.4707e+01  1.5000e+03  5.9991e+06  1.8378e+01  1.5003e+03  
27          9.8348e+09  1.1928e+12  2.1492e+01  1.5000e+03  4.5950e+11  1.8996e+01  1.5000e+03  6.3561e+06  2.1198e+01  1.5000e+03  2.4459e+04  1.7130e+01  1.5000e+03  6.3806e+06  2.1164e+01  1.5003e+03  
28          9.8404e+09  1.1124e+12  2.0143e+01  1.5000e+03  4.2322e+11  1.7386e+01  1.5000e+03  6.7538e+06  1.9834e+01  1.5000e+03  2.9661e+04  1.5382e+01  1.5000e+03  6.7835e+06  1.9858e+01  1.5003e+03  
29          9.8461e+09  1.0359e+12  2.1745e+01  1.5000e+03  3.9029e+11  1.8704e+01  1.5000e+03  7.1733e+06  2.1418e+01  1.5000e+03  3.6037e+04  1.6558e+01  1.5000e+03  7.2094e+06  2.1419e+01  1.5003e+03  
30          9.8519e+09  9.6312e+11  2.2431e+01  1.5000e+03  3.6033e+11  1.9080e+01  1.5000e+03  7.6165e+06  2.2084e+01  1.5000e+03  4.3858e+04  1.6789e+01  1.5000e+03  7.6603e+06  2.2079e+01  1.5002e+03  
31          9.8578e+09  8.9409e+11  2.3405e+01  1.5000e+03  3.3300e+11  1.9718e+01  1.5000e+03  8.0850e+06  2.3037e+01  1.5000e+03  5.3467e+04  1.7279e+01  1.5000e+03  8.1385e+06  2.3024e+01  1.5002e+03  
32          9.8638e+09  8.2869e+11  2.4400e+01  1.5000e+03  3.0799e+11  2.0349e+01  1.5000e+03  8.5810e+06  2.4007e+01  1.5000e+03  6.5292e+04  1.7758e+01  1.5000e+03  8.6463e+06  2.3986e+01  1.5002e+03  
33          9.8698e+09  7.6684e+11  2.5484e+01  1.5000e+03  2.8505e+11  2.1037e+01  1.5000e+03  9.1070e+06  2.5064e+01  1.5000e+03  7.9873e+04  1.8293e+01  1.5000e+03  9.1869e+06  2.5031e+01  1.5002e+03  
34          9.8759e+09  7.0846e+11  2.6648e+01  1.5000e+03  2.6392e+11  2.1774e+01  1.5000e+03  9.6659e+06  2.6197e+01  1.5000e+03  9.7874e+04  1.8876e+01  1.5000e+03  9.7637e+06  2.6149e+01  1.5002e+03  
35          9.8822e+09  6.5347e+11  2.7903e+01  1.5000e+03  2.4441e+11  2.2566e+01  1.5000e+03  1.0261e+07  2.7416e+01  1.5000e+03  1.2010e+05  1.9523e+01  1.5000e+03  1.0381e+07  2.7350e+01  1.5002e+03  
