I           X1          NDT_H       VX1_H       TMP_H       NDT_HE      VX1_HE      TMP_HE      NDT_H+      VX1_H+      TMP_H+      NDT_HE+     VX1_HE+     TMP_HE+     NDT_ELC     VX1_ELC     TMP_ELC     
2           9.7177e+09  8.8119e+12  -1.3364e+03 1.8239e+00  9.5910e+11  -1.3367e+03 1.9851e-01  6.7530e+06  -1.3364e+03 1.3977e-06  8.1996e+03  -1.3362e+03 1.6971e-09  6.7602e+06  -1.3358e+03 1.4000e-06  
3           9.7216e+09  8.5211e+12  -1.1176e+02 1.7643e+00  8.9724e+11  -1.1206e+02 1.8577e-01  6.9577e+06  -1.1180e+02 1.4406e-06  7.6791e+03  -1.1239e+02 1.5900e-09  6.9652e+06  -1.1262e+02 1.4431e-06  
4           9.7256e+09  8.2361e+12  1.5574e+00  1.7056e+00  8.3754e+11  1.2463e+00  1.7345e-01  7.3702e+06  1.4972e+00  1.5263e-06  8.1174e+03  4.7664e-01  1.6810e-09  7.3783e+06  1.6498e+00  1.5290e-06  
5           9.7296e+09  7.9597e+12  3.4456e+00  1.6484e+00  7.8054e+11  3.1298e+00  1.6165e-01  7.9361e+06  3.3757e+00  1.6435e-06  8.8942e+03  2.2556e+00  1.8419e-09  7.9450e+06  3.3833e+00  1.6464e-06  
6           9.7337e+09  7.6912e+12  2.9005e-01  1.5928e+00  7.2608e+11  -2.9687e-02 1.5037e-01  8.6072e+06  2.1582e-01  1.7825e-06  9.7396e+03  -9.2094e-01 2.0170e-09  8.6169e+06  1.8933e-01  1.7855e-06  
7           9.7379e+09  7.4302e+12  8.1733e-01  1.5388e+00  6.7403e+11  4.9438e-01  1.3959e-01  9.3429e+06  7.4259e-01  1.9349e-06  1.0604e+04  -4.2073e-01 2.1960e-09  9.3535e+06  7.4970e-01  1.9380e-06  
8           9.7421e+09  7.1766e+12  7.7926e-01  1.4862e+00  6.2437e+11  4.5390e-01  1.2930e-01  1.0110e+07  7.0640e-01  2.0936e-06  1.1503e+04  -5.0281e-01 2.3821e-09  1.0121e+07  7.0766e-01  2.0969e-06  
9           9.7463e+09  6.9303e+12  8.8901e-01  1.4352e+00  5.7702e+11  5.6224e-01  1.1950e-01  1.0881e+07  8.1940e-01  2.2533e-06  1.2451e+04  -4.4592e-01 2.5785e-09  1.0893e+07  8.2158e-01  2.2567e-06  
10          9.7507e+09  6.6912e+12  9.6830e-01  1.3857e+00  5.3194e+11  6.4130e-01  1.1016e-01  1.1635e+07  9.0262e-01  2.4095e-06  1.3451e+04  -4.2197e-01 2.7856e-09  1.1648e+07  9.0436e-01  2.4131e-06  
11          9.7551e+09  6.4591e+12  1.0619e+00  1.3376e+00  4.8907e+11  7.3611e-01  1.0128e-01  1.2357e+07  1.0004e+00  2.5590e-06  1.4498e+04  -3.8345e-01 3.0024e-09  1.2371e+07  1.0022e+00  2.5628e-06  
12          9.7595e+09  6.2338e+12  1.1572e+00  1.2910e+00  4.4836e+11  8.3426e-01  9.2853e-02  1.3035e+07  1.0999e+00  2.6995e-06  1.5581e+04  -3.4208e-01 3.2268e-09  1.3051e+07  1.1015e+00  2.7035e-06  
