HEAD:
#r_Orbit is 1AU
nbeam 53
DATA:
  wavelength        flux
  3.0000e+00  2.4929e-13
  8.0000e+00  5.4080e-07
  1.3000e+01  9.6549e-05
  1.8000e+01  8.3540e-04
  2.3000e+01  1.0532e-02
  2.8000e+01  9.1966e-03
  3.3000e+01  2.0895e-02
  3.8000e+01  5.1637e-03
  4.3000e+01  5.0720e-02
  4.8000e+01  2.2382e-02
  5.3000e+01  2.9185e-02
  5.8000e+01  3.9888e-02
  6.3000e+01  8.7428e-02
  6.8000e+01  6.3435e-02
  7.3000e+01  7.5758e-02
  7.8000e+01  5.7118e-02
  8.3000e+01  7.5308e-02
  8.8000e+01  4.7305e-02
  9.3000e+01  2.9532e-02
  9.8000e+01  5.7128e-02
  1.1300e+02  1.4634e-01
  1.3800e+02  1.5860e-01
  1.6300e+02  1.4971e+00
  1.8800e+02  6.2969e-01
  2.1300e+02  1.7724e-01
  2.3800e+02  3.7179e-01
  2.6300e+02  1.1574e-01
  2.8800e+02  1.6047e-01
  3.1300e+02  4.0059e-01
  3.3800e+02  1.4737e-01
  3.6300e+02  3.2267e-01
  3.8800e+02  2.5151e-02
  4.1300e+02  3.3875e-02
  4.3800e+02  1.4669e-01
  4.6300e+02  9.9205e-02
  4.8800e+02  5.2752e-03
  5.1300e+02  3.8575e-03
  5.3800e+02  2.7651e-03
  5.6300e+02  2.0148e-02
  5.8800e+02  3.7056e-03
  6.1300e+02  3.4865e-02
  6.3800e+02  2.0160e-02
  6.6300e+02  2.1452e-03
  6.8800e+02  1.1759e-02
  7.1300e+02  1.2647e-02
  7.3800e+02  2.3882e-03
  7.6300e+02  1.0213e-01
  7.8800e+02  5.3596e-02
  8.1300e+02  1.6155e-03
  8.3800e+02  9.5281e-04
  8.6300e+02  3.1940e-03
  8.8800e+02  4.4211e-03
  9.1300e+02  1.5395e-03
