I           X1          NDT_H       VX1_H       TMP_H       NDT_HE      VX1_HE      TMP_HE      NDT_H+      VX1_H+      TMP_H+      NDT_HE+     VX1_HE+     TMP_HE+     NDT_ELC     VX1_ELC     TMP_ELC     
2           9.7177e+09  9.8629e+12  -1.8898e+03 1.5001e+03  9.7434e+11  -1.8901e+03 1.5001e+03  1.3226e+08  -1.8898e+03 1.5001e+03  1.7368e+06  -1.8901e+03 1.5001e+03  1.3400e+08  -1.8898e+03 1.5003e+03  
3           9.7216e+09  9.5241e+12  -2.3802e+01 1.4996e+03  9.1301e+11  -2.4110e+01 1.4996e+03  1.3256e+08  -2.3817e+01 1.4996e+03  1.7427e+06  -2.5492e+01 1.4996e+03  1.3431e+08  -2.3839e+01 1.4997e+03  
4           9.7256e+09  9.2003e+12  3.9240e+01  1.5000e+03  8.5770e+11  3.8912e+01  1.5000e+03  1.3404e+08  3.9221e+01  1.5000e+03  1.7610e+06  3.6444e+01  1.5000e+03  1.3580e+08  3.9185e+01  1.5001e+03  
5           9.7296e+09  8.8871e+12  1.2719e+01  1.5000e+03  8.0729e+11  1.2367e+01  1.5000e+03  1.3586e+08  1.2699e+01  1.5000e+03  1.7892e+06  9.8148e+00  1.5000e+03  1.3765e+08  1.2662e+01  1.5002e+03  
6           9.7337e+09  8.5799e+12  1.2527e+01  1.5000e+03  7.6066e+11  1.2151e+01  1.5000e+03  1.3752e+08  1.2508e+01  1.5000e+03  1.8256e+06  9.9395e+00  1.5000e+03  1.3935e+08  1.2475e+01  1.5001e+03  
7           9.7379e+09  8.2789e+12  1.2314e+01  1.5000e+03  7.1758e+11  1.1911e+01  1.5000e+03  1.3881e+08  1.2297e+01  1.5000e+03  1.8691e+06  1.0212e+01  1.5000e+03  1.4068e+08  1.2269e+01  1.5001e+03  
8           9.7421e+09  7.9841e+12  1.2806e+01  1.5000e+03  6.7781e+11  1.2375e+01  1.5000e+03  1.3966e+08  1.2791e+01  1.5000e+03  1.9191e+06  1.1205e+01  1.5000e+03  1.4158e+08  1.2770e+01  1.5001e+03  
9           9.7463e+09  7.6954e+12  1.3216e+01  1.5000e+03  6.4108e+11  1.2755e+01  1.5000e+03  1.4012e+08  1.3202e+01  1.5000e+03  1.9752e+06  1.2032e+01  1.5000e+03  1.4209e+08  1.3186e+01  1.5001e+03  
10          9.7507e+09  7.4130e+12  1.3699e+01  1.5000e+03  6.0718e+11  1.3206e+01  1.5000e+03  1.4026e+08  1.3686e+01  1.5000e+03  2.0371e+06  1.2810e+01  1.5000e+03  1.4230e+08  1.3674e+01  1.5001e+03  
11          9.7551e+09  7.1366e+12  1.4199e+01  1.5000e+03  5.7588e+11  1.3673e+01  1.5000e+03  1.4018e+08  1.4187e+01  1.5000e+03  2.1050e+06  1.3479e+01  1.5000e+03  1.4229e+08  1.4176e+01  1.5001e+03  
12          9.7595e+09  6.8664e+12  1.4726e+01  1.5000e+03  5.4698e+11  1.4165e+01  1.5000e+03  1.3998e+08  1.4714e+01  1.5000e+03  2.1790e+06  1.4064e+01  1.5000e+03  1.4216e+08  1.4704e+01  1.5001e+03  
13          9.7641e+09  6.6023e+12  1.5280e+01  1.5000e+03  5.2027e+11  1.4681e+01  1.5000e+03  1.3973e+08  1.5268e+01  1.5000e+03  2.2593e+06  1.4590e+01  1.5000e+03  1.4199e+08  1.5257e+01  1.5001e+03  
14          9.7686e+09  6.3443e+12  1.5863e+01  1.5000e+03  4.9557e+11  1.5225e+01  1.5000e+03  1.3949e+08  1.5850e+01  1.5000e+03  2.3464e+06  1.5086e+01  1.5000e+03  1.4183e+08  1.5837e+01  1.5001e+03  
