I           X1          NDT_H       VX1_H       TMP_H       NDT_HE      VX1_HE      TMP_HE      NDT_H+      VX1_H+      TMP_H+      NDT_HE+     VX1_HE+     TMP_HE+     NDT_ELC     VX1_ELC     TMP_ELC     
2           2.6729e+09  9.0129e+12  -4.3338e+02 6.4992e+02  8.9397e+11  -4.3367e+02 6.4992e+02  5.6121e+06  -4.3339e+02 6.4992e+02  5.6117e+04  -4.2464e+02 6.4991e+02  5.6681e+06  -4.3317e+02 6.5014e+02  
3           2.6740e+09  8.8594e+12  4.3559e-01  6.4991e+02  8.6502e+11  1.2949e-01  6.4991e+02  5.6430e+06  4.0697e-01  6.4991e+02  2.2947e+04  1.2076e+01  6.4990e+02  5.6660e+06  3.3316e-01  6.5011e+02  
4           2.6751e+09  8.7107e+12  1.1793e+01  6.5000e+02  8.3794e+11  1.1475e+01  6.5000e+02  5.7200e+06  1.1754e+01  6.5000e+02  9.9721e+03  1.7136e+01  6.5000e+02  5.7300e+06  1.1747e+01  6.5023e+02  
5           2.6762e+09  8.5641e+12  1.9793e+00  6.5001e+02  8.1213e+11  1.6489e+00  6.5001e+02  5.8278e+06  1.9337e+00  6.5001e+02  9.7481e+03  -1.0817e-01 6.5000e+02  5.8377e+06  1.9730e+00  6.5020e+02  
6           2.6773e+09  8.4174e+12  2.2420e+00  6.5000e+02  7.8715e+11  1.8992e+00  6.5000e+02  5.9540e+06  2.1932e+00  6.5000e+02  9.9151e+03  1.4944e+00  6.5000e+02  5.9639e+06  2.1728e+00  6.5020e+02  
7           2.6785e+09  8.2709e+12  1.4927e+00  6.5000e+02  7.6298e+11  1.1373e+00  6.5000e+02  6.0889e+06  1.4432e+00  6.5000e+02  9.9192e+03  7.7491e-01  6.5000e+02  6.0988e+06  1.4474e+00  6.5019e+02  
8           2.6797e+09  8.1245e+12  1.7858e+00  6.5000e+02  7.3959e+11  1.4176e+00  6.5000e+02  6.2248e+06  1.7375e+00  6.5000e+02  9.9203e+03  1.0402e+00  6.5000e+02  6.2347e+06  1.7388e+00  6.5018e+02  
9           2.6808e+09  7.9783e+12  1.7562e+00  6.5000e+02  7.1694e+11  1.3750e+00  6.5000e+02  6.3556e+06  1.7104e+00  6.5000e+02  9.9220e+03  9.8884e-01  6.5000e+02  6.3656e+06  1.7116e+00  6.5017e+02  
10          2.6821e+09  7.8324e+12  1.8026e+00  6.5000e+02  6.9501e+11  1.4081e+00  6.5000e+02  6.4768e+06  1.7600e+00  6.5000e+02  9.9236e+03  1.0130e+00  6.5000e+02  6.4868e+06  1.7613e+00  6.5016e+02  
11          2.6833e+09  7.6868e+12  1.8344e+00  6.5000e+02  6.7377e+11  1.4264e+00  6.5000e+02  6.5850e+06  1.7956e+00  6.5000e+02  9.9253e+03  1.0222e+00  6.5000e+02  6.5950e+06  1.7968e+00  6.5015e+02  
12          2.6845e+09  7.5415e+12  1.8719e+00  6.5000e+02  6.5319e+11  1.4501e+00  6.5000e+02  6.6781e+06  1.8371e+00  6.5000e+02  9.9270e+03  1.0366e+00  6.5000e+02  6.6880e+06  1.8383e+00  6.5015e+02  
13          2.6858e+09  7.3968e+12  1.9096e+00  6.5000e+02  6.3325e+11  1.4736e+00  6.5000e+02  6.7547e+06  1.8789e+00  6.5000e+02  9.9288e+03  1.0507e+00  6.5000e+02  6.7647e+06  1.8801e+00  6.5014e+02  
14          2.6871e+09  7.2525e+12  1.9489e+00  6.5000e+02  6.1391e+11  1.4985e+00  6.5000e+02  6.8145e+06  1.9221e+00  6.5000e+02  9.9305e+03  1.0658e+00  6.5000e+02  6.8245e+06  1.9233e+00  6.5014e+02  
