I           X1          NDT_H       VX1_H       TMP_H       NDT_HE      VX1_HE      TMP_HE      NDT_H+      VX1_H+      TMP_H+      NDT_HE+     VX1_HE+     TMP_HE+     NDT_ELC     VX1_ELC     TMP_ELC     
2           9.7177e+09  8.8194e+12  -1.2926e+03 1.4963e+03  9.7861e+11  -1.2930e+03 1.4963e+03  6.5897e+06  -1.2926e+03 1.4963e+03  4.5119e+03  -1.2933e+03 1.4963e+03  6.5939e+06  -1.2920e+03 1.4975e+03  
3           9.7216e+09  8.5486e+12  -6.8114e+01 1.4907e+03  9.2854e+11  -6.8497e+01 1.4907e+03  6.6522e+06  -6.8135e+01 1.4907e+03  4.7283e+03  -6.9096e+01 1.4907e+03  6.6569e+06  -6.8890e+01 1.4922e+03  
4           9.7256e+09  8.2819e+12  5.2220e+00  1.4849e+03  8.8043e+11  4.8273e+00  1.4849e+03  6.8270e+06  5.1906e+00  1.4849e+03  5.1015e+03  4.1335e+00  1.4849e+03  6.8322e+06  5.3537e+00  1.4864e+03  
5           9.7296e+09  8.0206e+12  2.4621e+00  1.4787e+03  8.3446e+11  2.0519e+00  1.4787e+03  7.0899e+06  2.4230e+00  1.4787e+03  5.5326e+03  1.3275e+00  1.4787e+03  7.0954e+06  2.4391e+00  1.4802e+03  
6           9.7337e+09  7.7637e+12  8.6389e-01  1.4725e+03  7.9041e+11  4.3770e-01  1.4725e+03  7.4189e+06  8.1978e-01  1.4725e+03  5.9952e+03  -3.1239e-01 1.4725e+03  7.4249e+06  8.0707e-01  1.4739e+03  
7           9.7379e+09  7.5114e+12  1.0423e+00  1.4662e+03  7.4820e+11  5.9912e-01  1.4662e+03  7.7956e+06  9.9517e-01  1.4662e+03  6.4938e+03  -1.8489e-01 1.4662e+03  7.8021e+06  1.0047e+00  1.4676e+03  
8           9.7421e+09  7.2635e+12  1.0433e+00  1.4599e+03  7.0780e+11  5.8225e-01  1.4599e+03  8.2047e+06  9.9476e-01  1.4599e+03  7.0384e+03  -2.4244e-01 1.4599e+03  8.2117e+06  1.0008e+00  1.4611e+03  
9           9.7463e+09  7.0202e+12  1.0984e+00  1.4535e+03  6.6915e+11  6.1844e-01  1.4535e+03  8.6337e+06  1.0495e+00  1.4535e+03  7.6373e+03  -2.5095e-01 1.4535e+03  8.6413e+06  1.0557e+00  1.4546e+03  
10          9.7507e+09  6.7815e+12  1.1475e+00  1.4470e+03  6.3221e+11  6.4762e-01  1.4470e+03  9.0728e+06  1.0990e+00  1.4470e+03  8.2976e+03  -2.6929e-01 1.4470e+03  9.0811e+06  1.1050e+00  1.4481e+03  
11          9.7551e+09  6.5473e+12  1.2034e+00  1.4405e+03  5.9693e+11  6.8241e-01  1.4405e+03  9.5148e+06  1.1557e+00  1.4405e+03  9.0264e+03  -2.8464e-01 1.4405e+03  9.5238e+06  1.1616e+00  1.4415e+03  
12          9.7595e+09  6.3177e+12  1.2616e+00  1.4339e+03  5.6326e+11  7.1819e-01  1.4339e+03  9.9544e+06  1.2147e+00  1.4339e+03  9.8316e+03  -3.0171e-01 1.4339e+03  9.9642e+06  1.2205e+00  1.4349e+03  
13          9.7641e+09  6.0927e+12  1.3231e+00  1.4272e+03  5.3114e+11  7.5600e-01  1.4272e+03  1.0388e+07  1.2772e+00  1.4272e+03  1.0722e+04  -3.1955e-01 1.4272e+03  1.0399e+07  1.2828e+00  1.4281e+03  
14          9.7686e+09  5.8724e+12  1.3878e+00  1.4205e+03  5.0054e+11  7.9566e-01  1.4205e+03  1.0815e+07  1.3429e+00  1.4205e+03  1.1706e+04  -3.3837e-01 1.4205e+03  1.0827e+07  1.3483e+00  1.4214e+03  
15          9.7733e+09  5.6566e+12  1.4561e+00  1.4137e+03  4.7140e+11  8.3733e-01  1.4137e+03  1.1234e+07  1.4119e+00  1.4137e+03  1.2796e+04  -3.5801e-01 1.4137e+03  1.1246e+07  1.4171e+00  1.4145e+03  
16          9.7780e+09  5.4455e+12  1.5282e+00  1.4069e+03  4.4368e+11  8.8110e-01  1.4069e+03  1.1645e+07  1.4845e+00  1.4069e+03  1.4002e+04  -3.7832e-01 1.4069e+03  1.1659e+07  1.4895e+00  1.4077e+03  
17          9.7828e+09  5.2390e+12  1.6042e+00  1.3999e+03  4.1732e+11  9.2710e-01  1.3999e+03  1.2050e+07  1.5609e+00  1.3999e+03  1.5337e+04  -3.9914e-01 1.3999e+03  1.2065e+07  1.5656e+00  1.4007e+03  
18          9.7877e+09  5.0372e+12  1.6846e+00  1.3929e+03  3.9229e+11  9.7543e-01  1.3929e+03  1.2450e+07  1.6413e+00  1.3929e+03  1.6815e+04  -4.2025e-01 1.3929e+03  1.2466e+07  1.6457e+00  1.3937e+03  
19          9.7926e+09  4.8400e+12  1.7695e+00  1.3859e+03  3.6853e+11  1.0263e+00  1.3859e+03  1.2847e+07  1.7260e+00  1.3859e+03  1.8451e+04  -4.4138e-01 1.3859e+03  1.2865e+07  1.7301e+00  1.3866e+03  
20          9.7976e+09  4.6474e+12  1.8591e+00  1.3788e+03  3.4600e+11  1.0796e+00  1.3788e+03  1.3242e+07  1.8152e+00  1.3788e+03  2.0259e+04  -4.6243e-01 1.3788e+03  1.3262e+07  1.8190e+00  1.3795e+03  
21          9.8027e+09  4.4595e+12  1.9546e+00  1.3716e+03  3.2465e+11  1.1363e+00  1.3716e+03  1.3638e+07  1.9102e+00  1.3716e+03  2.2259e+04  -4.8221e-01 1.3716e+03  1.3660e+07  1.9135e+00  1.3723e+03  
22          9.8079e+09  4.2761e+12  2.0525e+00  1.3643e+03  3.0444e+11  1.1929e+00  1.3643e+03  1.4035e+07  2.0073e+00  1.3643e+03  2.4468e+04  -5.0423e-01 1.3643e+03  1.4060e+07  2.0101e+00  1.3650e+03  
23          9.8131e+09  4.0974e+12  2.1708e+00  1.3570e+03  2.8532e+11  1.2669e+00  1.3570e+03  1.4436e+07  2.1247e+00  1.3570e+03  2.6907e+04  -5.1050e-01 1.3570e+03  1.4463e+07  2.1273e+00  1.3576e+03  
24          9.8184e+09  3.9232e+12  2.2212e+00  1.3496e+03  2.6725e+11  1.2700e+00  1.3496e+03  1.4840e+07  2.1741e+00  1.3496e+03  2.9597e+04  -5.8918e-01 1.3496e+03  1.4869e+07  2.1737e+00  1.3502e+03  
25          9.8238e+09  3.7536e+12  2.6690e+00  1.3421e+03  2.5019e+11  1.6671e+00  1.3421e+03  1.5248e+07  2.6207e+00  1.3421e+03  3.2562e+04  -2.7487e-01 1.3421e+03  1.5280e+07  2.6264e+00  1.3428e+03  
26          9.8293e+09  3.5886e+12  1.8473e+00  1.3346e+03  2.3410e+11  7.9106e-01  1.3346e+03  1.5660e+07  1.7978e+00  1.3346e+03  3.5826e+04  -1.2344e+00 1.3346e+03  1.5696e+07  1.7946e+00  1.3352e+03  
27          9.8348e+09  3.4281e+12  3.3561e+00  1.3270e+03  2.1893e+11  2.2415e+00  1.3270e+03  1.6076e+07  3.3053e+00  1.3270e+03  3.9418e+04  1.3223e-01  1.3270e+03  1.6116e+07  3.3063e+00  1.3276e+03  
28          9.8404e+09  3.2721e+12  2.4036e+00  1.3193e+03  2.0464e+11  1.2263e+00  1.3193e+03  1.6496e+07  2.3514e+00  1.3193e+03  4.3366e+04  -9.6615e-01 1.3193e+03  1.6540e+07  2.3459e+00  1.3200e+03  
29          9.8461e+09  3.1206e+12  2.9842e+00  1.3116e+03  1.9119e+11  1.7395e+00  1.3116e+03  1.6918e+07  2.9306e+00  1.3116e+03  4.7701e+04  -5.3531e-01 1.3116e+03  1.6966e+07  2.9300e+00  1.3122e+03  
30          9.8519e+09  2.9735e+12  3.0500e+00  1.3038e+03  1.7854e+11  1.7328e+00  1.3038e+03  1.7342e+07  2.9949e+00  1.3038e+03  5.2459e+04  -6.2271e-01 1.3038e+03  1.7394e+07  2.9908e+00  1.3044e+03  
