I           X1          NDT_H       VX1_H       TMP_H       NDT_HE      VX1_HE      TMP_HE      NDT_H+      VX1_H+      TMP_H+      NDT_HE+     VX1_HE+     TMP_HE+     NDT_ELC     VX1_ELC     TMP_ELC     
2           9.7167e+09  9.0234e+11  -5.6675e+02 1.4996e+03  8.9603e+10  -5.6936e+02 1.4996e+03  8.4025e+06  -5.6687e+02 1.4996e+03  9.4044e+04  -5.6450e+02 1.4996e+03  8.4960e+06  -5.6473e+02 1.5000e+03  
3           9.7187e+09  8.8905e+11  -8.3043e-01 1.4996e+03  8.7103e+10  -3.5353e+00 1.4996e+03  8.4705e+06  -1.1136e+00 1.4996e+03  8.7904e+04  -2.1261e-02 1.4996e+03  8.5581e+06  -2.9695e+00 1.4999e+03  
4           9.7206e+09  8.7623e+11  1.4254e+01  1.4999e+03  8.4780e+10  1.1442e+01  1.4999e+03  8.6301e+06  1.3845e+01  1.4999e+03  8.3982e+04  1.2536e+01  1.4999e+03  8.7142e+06  1.3381e+01  1.5003e+03  
5           9.7226e+09  8.6371e+11  7.0455e+00  1.5000e+03  8.2592e+10  4.1131e+00  1.5000e+03  8.8576e+06  6.5527e+00  1.5000e+03  8.2380e+04  2.7720e+00  1.5000e+03  8.9400e+06  7.2188e+00  1.5004e+03  
6           9.7246e+09  8.5129e+11  4.8764e+00  1.5000e+03  8.0497e+10  1.8308e+00  1.5000e+03  9.1323e+06  4.3301e+00  1.5000e+03  8.2619e+04  -1.3763e+00 1.5000e+03  9.2149e+06  4.0648e+00  1.5004e+03  
7           9.7266e+09  8.3897e+11  4.5637e+00  1.5000e+03  7.8487e+10  1.4069e+00  1.5000e+03  9.4382e+06  3.9895e+00  1.5000e+03  8.4106e+04  -2.9602e+00 1.5000e+03  9.5223e+06  3.9740e+00  1.5003e+03  
8           9.7286e+09  8.2675e+11  4.7493e+00  1.5000e+03  7.6556e+10  1.4804e+00  1.5000e+03  9.7621e+06  4.1673e+00  1.5000e+03  8.6327e+04  -3.4709e+00 1.5000e+03  9.8484e+06  4.1216e+00  1.5003e+03  
9           9.7306e+09  8.1462e+11  4.8226e+00  1.5000e+03  7.4700e+10  1.4416e+00  1.5000e+03  1.0093e+07  4.2472e+00  1.5000e+03  8.8917e+04  -3.7237e+00 1.5000e+03  1.0182e+07  4.1796e+00  1.5003e+03  
10          9.7326e+09  8.0260e+11  4.8980e+00  1.5000e+03  7.2915e+10  1.4051e+00  1.5000e+03  1.0422e+07  4.3394e+00  1.5000e+03  9.1658e+04  -3.7814e+00 1.5000e+03  1.0514e+07  4.2791e+00  1.5003e+03  
11          9.7347e+09  7.9068e+11  4.9815e+00  1.5000e+03  7.1197e+10  1.3768e+00  1.5000e+03  1.0744e+07  4.4462e+00  1.5000e+03  9.4445e+04  -3.7563e+00 1.5000e+03  1.0838e+07  4.3828e+00  1.5003e+03  
12          9.7367e+09  7.7887e+11  5.0642e+00  1.5000e+03  6.9541e+10  1.3477e+00  1.5000e+03  1.1052e+07  4.5561e+00  1.5000e+03  9.7247e+04  -3.7231e+00 1.5000e+03  1.1149e+07  4.4922e+00  1.5002e+03  
13          9.7388e+09  7.6716e+11  5.1492e+00  1.5000e+03  6.7944e+10  1.3208e+00  1.5000e+03  1.1343e+07  4.6699e+00  1.5000e+03  1.0007e+05  -3.7074e+00 1.5000e+03  1.1443e+07  4.6051e+00  1.5002e+03  
14          9.7408e+09  7.5556e+11  5.2355e+00  1.5000e+03  6.6403e+10  1.2953e+00  1.5000e+03  1.1616e+07  4.7853e+00  1.5000e+03  1.0294e+05  -3.7174e+00 1.5000e+03  1.1719e+07  4.7190e+00  1.5002e+03  
