I           X1          NDT_H       VX1_H       TMP_H       NDT_HE      VX1_HE      TMP_HE      NDT_H+      VX1_H+      TMP_H+      NDT_HE+     VX1_HE+     TMP_HE+     NDT_ELC     VX1_ELC     TMP_ELC     
2           9.7177e+09  8.8867e+12  -1.7785e+03 1.4973e+03  9.7622e+11  -1.7788e+03 1.4973e+03  6.3022e+07  -1.7785e+03 1.4973e+03  4.4868e+05  -1.7790e+03 1.4973e+03  6.3469e+07  -1.7784e+03 1.4973e+03  
3           9.7216e+09  8.6098e+12  1.5380e+00  1.4906e+03  9.1981e+11  1.1872e+00  1.4906e+03  6.3343e+07  1.5217e+00  1.4906e+03  4.5366e+05  8.5007e-01  1.4906e+03  6.3796e+07  1.6054e+00  1.4906e+03  
4           9.7256e+09  8.3435e+12  2.3661e+01  1.4849e+03  8.6822e+11  2.3293e+01  1.4849e+03  6.4407e+07  2.3639e+01  1.4849e+03  4.6967e+05  2.2868e+01  1.4849e+03  6.4876e+07  2.3518e+01  1.4849e+03  
5           9.7296e+09  8.0839e+12  3.6270e+00  1.4787e+03  8.2044e+11  3.2363e+00  1.4787e+03  6.5828e+07  3.6024e+00  1.4787e+03  4.9148e+05  2.7701e+00  1.4787e+03  6.6319e+07  3.7870e+00  1.4787e+03  
6           9.7337e+09  7.8278e+12  1.9342e+00  1.4725e+03  7.7567e+11  1.5201e+00  1.4725e+03  6.7325e+07  1.9097e+00  1.4725e+03  5.1550e+05  1.0403e+00  1.4725e+03  6.7841e+07  1.8660e+00  1.4725e+03  
7           9.7379e+09  7.5752e+12  1.3481e+00  1.4662e+03  7.3375e+11  9.0913e-01  1.4662e+03  6.8722e+07  1.3252e+00  1.4662e+03  5.3980e+05  4.2971e-01  1.4662e+03  6.9262e+07  1.3488e+00  1.4662e+03  
8           9.7421e+09  7.3261e+12  1.4312e+00  1.4599e+03  6.9454e+11  9.6545e-01  1.4599e+03  6.9914e+07  1.4105e+00  1.4599e+03  5.6348e+05  4.9069e-01  1.4599e+03  7.0478e+07  1.4295e+00  1.4599e+03  
9           9.7463e+09  7.0806e+12  1.4180e+00  1.4535e+03  6.5788e+11  9.2371e-01  1.4535e+03  7.0854e+07  1.3997e+00  1.4535e+03  5.8639e+05  4.5209e-01  1.4535e+03  7.1440e+07  1.4167e+00  1.4535e+03  
10          9.7507e+09  6.8387e+12  1.4535e+00  1.4470e+03  6.2363e+11  9.2881e-01  1.4470e+03  7.1536e+07  1.4376e+00  1.4470e+03  6.0885e+05  4.5584e-01  1.4470e+03  7.2144e+07  1.4545e+00  1.4470e+03  
11          9.7551e+09  6.6006e+12  1.4842e+00  1.4405e+03  5.9164e+11  9.2704e-01  1.4405e+03  7.1984e+07  1.4702e+00  1.4405e+03  6.3142e+05  4.4721e-01  1.4405e+03  7.2616e+07  1.4864e+00  1.4405e+03  
