I           X1          NDT_H       VX1_H       TMP_H       NDT_HE      VX1_HE      TMP_HE      NDT_H+      VX1_H+      TMP_H+      NDT_HE+     VX1_HE+     TMP_HE+     NDT_ELC     VX1_ELC     TMP_ELC     
2           9.7167e+09  9.1445e+12  -6.6082e+02 1.4996e+03  7.6342e+11  -6.6113e+02 1.4996e+03  7.3548e+06  -6.6083e+02 1.4996e+03  4.9744e+04  -6.5030e+02 1.4996e+03  7.4042e+06  -6.5819e+02 1.4997e+03  
3           9.7187e+09  8.9896e+12  -5.6338e+00 1.4995e+03  7.3836e+11  -5.9452e+00 1.4995e+03  7.3965e+06  -5.6586e+00 1.4995e+03  1.7669e+04  6.7845e+00  1.4995e+03  7.4139e+06  -7.8224e+00 1.4996e+03  
4           9.7206e+09  8.8410e+12  1.1899e+01  1.4999e+03  7.1477e+11  1.1581e+01  1.4999e+03  7.5026e+06  1.1865e+01  1.4999e+03  9.2962e+03  1.3948e+01  1.4999e+03  7.5124e+06  1.1252e+01  1.4999e+03  
5           9.7226e+09  8.6966e+12  4.0090e+00  1.5000e+03  6.9231e+11  3.6827e+00  1.5000e+03  7.6538e+06  3.9682e+00  1.5000e+03  9.3534e+03  2.2059e+00  1.5000e+03  7.6635e+06  4.7549e+00  1.5000e+03  
6           9.7246e+09  8.5543e+12  1.2109e+00  1.5000e+03  6.7060e+11  8.7671e-01  1.5000e+03  7.8327e+06  1.1664e+00  1.5000e+03  9.6063e+03  4.1879e-01  1.5000e+03  7.8425e+06  8.6120e-01  1.5000e+03  
7           9.7266e+09  8.4136e+12  7.6023e-01  1.5000e+03  6.4957e+11  4.1832e-01  1.5000e+03  8.0262e+06  7.1446e-01  1.5000e+03  9.6176e+03  3.0193e-02  1.5000e+03  8.0360e+06  7.5632e-01  1.5000e+03  
8           9.7286e+09  8.2747e+12  9.0631e-01  1.5000e+03  6.2923e+11  5.5628e-01  1.5000e+03  8.2238e+06  8.6091e-01  1.5000e+03  9.6213e+03  1.3938e-01  1.5000e+03  8.2336e+06  8.6472e-01  1.5000e+03  
9           9.7306e+09  8.1375e+12  9.1747e-01  1.5000e+03  6.0954e+11  5.5908e-01  1.5000e+03  8.4171e+06  8.7367e-01  1.5000e+03  9.6279e+03  1.3043e-01  1.5000e+03  8.4269e+06  8.5498e-01  1.5000e+03  
10          9.7326e+09  8.0021e+12  9.2795e-01  1.5000e+03  5.9049e+11  5.6097e-01  1.5000e+03  8.5997e+06  8.8660e-01  1.5000e+03  9.6344e+03  1.1959e-01  1.5000e+03  8.6095e+06  8.7810e-01  1.5000e+03  
11          9.7347e+09  7.8684e+12  9.4831e-01  1.5000e+03  5.7207e+11  5.7248e-01  1.5000e+03  8.7668e+06  9.0998e-01  1.5000e+03  9.6407e+03  1.1805e-01  1.5000e+03  8.7767e+06  8.9864e-01  1.5000e+03  
12          9.7367e+09  7.7364e+12  9.6594e-01  1.5000e+03  5.5424e+11  5.8102e-01  1.5000e+03  8.9153e+06  9.3096e-01  1.5000e+03  9.6470e+03  1.1317e-01  1.5000e+03  8.9251e+06  9.1994e-01  1.5000e+03  
13          9.7388e+09  7.6061e+12  9.8498e-01  1.5000e+03  5.3700e+11  5.9068e-01  1.5000e+03  9.0432e+06  9.5348e-01  1.5000e+03  9.6533e+03  1.0904e-01  1.5000e+03  9.0530e+06  9.4261e-01  1.5000e+03  
14          9.7408e+09  7.4774e+12  1.0043e+00  1.5000e+03  5.2032e+11  6.0035e-01  1.5000e+03  9.1494e+06  9.7629e-01  1.5000e+03  9.6595e+03  1.0452e-01  1.5000e+03  9.1593e+06  9.6528e-01  1.5000e+03  
15          9.7429e+09  7.3504e+12  1.0239e+00  1.5000e+03  5.0419e+11  6.1007e-01  1.5000e+03  9.2341e+06  9.9936e-01  1.5000e+03  9.6656e+03  9.9651e-02  1.5000e+03  9.2439e+06  9.8839e-01  1.5000e+03  
16          9.7450e+09  7.2251e+12  1.0440e+00  1.5000e+03  4.8859e+11  6.1995e-01  1.5000e+03  9.2976e+06  1.0227e+00  1.5000e+03  9.6717e+03  9.4521e-02  1.5000e+03  9.3074e+06  1.0117e+00  1.5000e+03  
