HEAD:
#r_Orbit is 1AU
nbeam 53
DATA:
  wavelength        flux
  3.0000e+00  1.8777e-13
  8.0000e+00  4.0908e-07
  1.3000e+01  7.4115e-05
  1.8000e+01  6.4972e-04
  2.3000e+01  8.2554e-03
  2.8000e+01  7.3072e-03
  3.3000e+01  1.6632e-02
  3.8000e+01  4.0993e-03
  4.3000e+01  4.1823e-02
  4.8000e+01  1.7906e-02
  5.3000e+01  2.3572e-02
  5.8000e+01  3.1945e-02
  6.3000e+01  7.1692e-02
  6.8000e+01  5.2388e-02
  7.3000e+01  6.3524e-02
  7.8000e+01  4.7307e-02
  8.3000e+01  6.3867e-02
  8.8000e+01  3.9782e-02
  9.3000e+01  2.4603e-02
  9.8000e+01  4.8138e-02
  1.1300e+02  1.2350e-01
  1.3800e+02  1.3238e-01
  1.6300e+02  1.2563e+00
  1.8800e+02  5.1337e-01
  2.1300e+02  1.4665e-01
  2.3800e+02  3.1144e-01
  2.6300e+02  9.4286e-02
  2.8800e+02  1.3577e-01
  3.1300e+02  3.3825e-01
  3.3800e+02  1.2099e-01
  3.6300e+02  2.6602e-01
  3.8800e+02  2.1121e-02
  4.1300e+02  2.9682e-02
  4.3800e+02  1.2669e-01
  4.6300e+02  8.7792e-02
  4.8800e+02  4.5328e-03
  5.1300e+02  3.2647e-03
  5.3800e+02  2.3344e-03
  5.6300e+02  1.7203e-02
  5.8800e+02  3.1792e-03
  6.1300e+02  2.7260e-02
  6.3800e+02  1.6013e-02
  6.6300e+02  1.7801e-03
  6.8800e+02  9.8588e-03
  7.1300e+02  1.0591e-02
  7.3800e+02  1.9746e-03
  7.6300e+02  8.8422e-02
  7.8800e+02  4.6359e-02
  8.1300e+02  1.3683e-03
  8.3800e+02  7.9753e-04
  8.6300e+02  2.7328e-03
  8.8800e+02  3.8842e-03
  9.1300e+02  1.3012e-03
