r,ion_rate
1.000000000e+00,8.399984233e-07
1.000102845e+00,8.513540402e-07
1.000205689e+00,8.682468675e-07
1.000298250e+00,8.894788304e-07
1.000401094e+00,9.140113295e-07
1.000503939e+00,9.409169836e-07
1.000606784e+00,9.693849448e-07
1.000719913e+00,9.987046837e-07
1.000822757e+00,1.028314246e-06
1.000925602e+00,1.057690737e-06
1.001028447e+00,1.086459143e-06
1.001141576e+00,1.114290970e-06
1.001244421e+00,1.140942591e-06
1.001357550e+00,1.166230697e-06
1.001460395e+00,1.190073099e-06
1.001573524e+00,1.212387471e-06
1.001676368e+00,1.233154819e-06
1.001789498e+00,1.252380949e-06
1.001902627e+00,1.270123154e-06
1.002015756e+00,1.286457684e-06
1.002128885e+00,1.301508849e-06
1.002242014e+00,1.315221367e-06
1.002355143e+00,1.327855143e-06
1.002468272e+00,1.339494139e-06
1.002591686e+00,1.350265629e-06
1.002704815e+00,1.360229483e-06
1.002817944e+00,1.369539985e-06
1.002941358e+00,1.378268950e-06
1.003054487e+00,1.386543726e-06
1.003177901e+00,1.394463393e-06
1.003291030e+00,1.402096688e-06
1.003414444e+00,1.409520719e-06
1.003537857e+00,1.416821926e-06
1.003661271e+00,1.424063479e-06
1.003784684e+00,1.431323648e-06
1.003908098e+00,1.438610836e-06
1.004031512e+00,1.445985893e-06
1.004154925e+00,1.453481421e-06
1.004278339e+00,1.461131386e-06
1.004412037e+00,1.468955434e-06
1.004535451e+00,1.476997516e-06
1.004669149e+00,1.485248389e-06
1.004792562e+00,1.493721346e-06
1.004926260e+00,1.502463631e-06
1.005059958e+00,1.511433125e-06
1.005183372e+00,1.520661206e-06
1.005317070e+00,1.530155202e-06
1.005450768e+00,1.539879042e-06
1.005584466e+00,1.549882879e-06
1.005718164e+00,1.560139614e-06
1.005862147e+00,1.570674158e-06
1.005995845e+00,1.581448067e-06
1.006129543e+00,1.592496372e-06
1.006273526e+00,1.603779002e-06
1.006407224e+00,1.615350482e-06
1.006551206e+00,1.627150819e-06
1.006695189e+00,1.639235888e-06
1.006828887e+00,1.651582031e-06
1.006972870e+00,1.664189310e-06
1.007116852e+00,1.677071458e-06
1.007260835e+00,1.690195498e-06
1.007404817e+00,1.703622004e-06
1.007559084e+00,1.717304073e-06
1.007703067e+00,1.731268680e-06
1.007847049e+00,1.745501969e-06
1.008001316e+00,1.760069304e-06
1.008145299e+00,1.774920832e-06
1.008299566e+00,1.790063628e-06
1.008453833e+00,1.805504980e-06
1.008608100e+00,1.821252397e-06
1.008752083e+00,1.837378020e-06
